CMDECOD,CMCAT,CMSCAT
FAT EMULSIONS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FELODIPINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FEMODENE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FENOFIBRATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FENTANYL,MEDICATION OTHER THAN THERAPY,ANALGESIC
FENTANYL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FENTANYL CITRATE,MEDICATION OTHER THAN THERAPY,ANALGESIC
FERRIC SODIUM GLUCONATE COMPLEX,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FERRO-FOLGAMMA                     /01256801/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FERROUS SULFATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FERROUS SULFATE EXSICCATED,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FEXOFENADINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FILGRASTIM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FINASTERIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FISH OIL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FLEBOBAG RING LACT,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FLUCONAZOLE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FLUNISOLIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FLUOCINOLONE ACETONIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FLUOROURACIL,ANTI-TUMOR THERAPY,CHEMOTHERAPY
FLUOROURACIL SODIUM,ANTI-TUMOR THERAPY,CHEMOTHERAPY
FLUOXETINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FLUOXETINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FLUPIRTINE MALEATE,MEDICATION OTHER THAN THERAPY,ANALGESIC
FLUTICASONE PROPIONATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FOLIC ACID,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FOLINIC ACID,ANTI-TUMOR THERAPY,CHEMOTHERAPY
FOLINIC ACID,ANTI-TUMOR THERAPY,OTHER
FONDAPARINUX SODIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FORMOTEROL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FORTRANS                           /02140001/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FOSFOMYCIN TROMETAMOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
FUROSEMIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GABAPENTIN,MEDICATION OTHER THAN THERAPY,ANALGESIC
GABAPENTIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GALENIC /BISOPROLOL/HYDROCHLOROTHIAZIDE/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GALENIC /POTASSIUM CHLORIDE/GLUCOSE/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GAVISCON                           /01279101/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GELOPLASMA                         /01694301/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GEMCITABINE,ANTI-TUMOR THERAPY,CHEMOTHERAPY
GEMCITABINE HYDROCHLORIDE,ANTI-TUMOR THERAPY,CHEMOTHERAPY
GEMFIBROZIL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GENERAL NUTRIENTS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GENTAMICIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GERITOL                            /00543501/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GINKGO BILOBA,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GIVALEX,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GLIBENCLAMIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GLIBOMET,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GLICLAZIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GLIMEPIRIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GLIPIZIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GLIQUIDONE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GLUCAGON,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GLUCOSAMINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GLUCOSE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GLUCOSE INJECTION,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GLUTAMIC ACID,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GLUTATHIONE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GLUTATHIONE SODIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GLYCEROL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GLYCERYL TRINITRATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GLYCINE MAX SEED OIL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GRANISETRON,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GRANISETRON HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
GUAIFENESIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HALOPERIDOL,MEDICATION OTHER THAN THERAPY,ANALGESIC
HALOPERIDOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HELICIDINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HEPA MERZ                          /02179101/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HEPARIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HEPARIN GROUP,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HEPARIN SODIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
"HEPARIN-FRACTION, SODIUM SALT",MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HERBAL PREPARATION,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HETASTARCH,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HUMAN MIXTARD                      /00806401/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HYDRALAZINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HYDRAZINE SULFATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HYDROCHLOROTHIAZIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HYDROCHLOROTHIAZIDE W/LOSARTAN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HYDROCODONE,MEDICATION OTHER THAN THERAPY,ANALGESIC
HYDROCODONE BITARTRATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HYDROCORTISONE HYDROGEN SUCCINATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HYDROCORTISONE VALERATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HYDROMORPHONE,MEDICATION OTHER THAN THERAPY,ANALGESIC
HYDROMORPHONE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,ANALGESIC
HYDROXYZINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HYOSCINE BUTYLBROMIDE,MEDICATION OTHER THAN THERAPY,ANALGESIC
HYOSCINE BUTYLBROMIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HYOSCYAMINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
HYOSCYAMINE SULFATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
I.V. SOLUTIONS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
IBANDRONATE SODIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
IBUPROFEN,MEDICATION OTHER THAN THERAPY,ANALGESIC
IBUPROFEN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
IMIPENEM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
IMIPRAMINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
INDAPAMIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
INDOMETACIN,MEDICATION OTHER THAN THERAPY,ANALGESIC
INDOMETACIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
INEGY,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
INFLUENZA VACCINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
INFLUENZA VIRUS VACCINE POLYVALENT,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
INOSINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
INSULIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
INSULIN ASPART,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
INSULIN DETEMIR,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
INSULIN GLARGINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
INSULIN HUMAN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
"INSULIN HUMAN INJECTION, ISOPHANE",MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
"INSULIN INJECTION, ISOPHANE",MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
INSULIN ISOPHANE HUMAN SEMISYNTHETIC,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
INSULIN LISPRO,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
INSULIN NOVOMIX                    /02607201/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
IPRATROPIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
IPRATROPIUM BROMIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
IRBESARTAN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
IRINOTECAN,ANTI-TUMOR THERAPY,CHEMOTHERAPY
IROCOPHAN,MEDICATION OTHER THAN THERAPY,ANALGESIC
IRON,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
IRON IN OTHER COMBINATIONS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
IRON PREPARATIONS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ISOLYTE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ISOPHANE INSULIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ISOSORBIDE DINITRATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ISOSORBIDE MONONITRATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ISOTONIC SOLUTIONS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ITOPRIDE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ITRACONAZOLE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
IVABRADINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
JANUMET,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
JONOSTERIL                         /00351401/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
JONOSTERIL                         /01263001/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
KABIVEN                            /01705101/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
KETAMINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,ANALGESIC
KETOCONAZOLE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
KETOPROFEN,MEDICATION OTHER THAN THERAPY,ANALGESIC
KETOPROFEN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
KETOROLAC,MEDICATION OTHER THAN THERAPY,ANALGESIC
KETOROLAC,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
KETOROLAC TROMETHAMINE,MEDICATION OTHER THAN THERAPY,ANALGESIC
LABETALOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LACTOBACILLUS RHAMNOSUS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LACTOSE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LACTULOSE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LANREOTIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LANSOPRAZOLE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LAROTAXEL,ANTI-TUMOR THERAPY,CHEMOTHERAPY
LAXATIVES,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LAXBENE                            /01531301/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LEKOVIT CA,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LENOGRASTIM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LERCANIDIPINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LERCANIDIPINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LEVOCETIRIZINE DIHYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LEVOFLOXACIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LEVOMEPROMAZINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LEVOSALBUTAMOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LEVOSULPIRIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LEVOTHYROXINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LEVOTHYROXINE SODIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LIDOCAINE,MEDICATION OTHER THAN THERAPY,ANALGESIC
LIDOCAINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LIDOCAINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,ANALGESIC
LINEZOLID,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LIPITAC,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LISINOPRIL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LOPERAMIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LOPERAMIDE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LORATADINE,MEDICATION OTHER THAN THERAPY,ANALGESIC
LORATADINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LORAZEPAM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LORMETAZEPAM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LORNOXICAM,MEDICATION OTHER THAN THERAPY,ANALGESIC
LOSARTAN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LOSARTAN POTASSIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LOVASTATIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
LYSINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MACROGOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MAG-LAX,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MAGALDRATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MAGNESIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MAGNESIUM CHLORIDE ANHYDROUS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MAGNESIUM CITRATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MAGNESIUM HYDROXIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MAGNESIUM OXIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MAGNESIUM SULFATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MANNITOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MAXITROL                           /00393601/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MEBEVERINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MEBEVERINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MEDAZEPAM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MEGESTROL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MEGESTROL ACETATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MELOXICAM,MEDICATION OTHER THAN THERAPY,ANALGESIC
MELOXICAM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MENADIONE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MENTALGINA                         /06118001/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MEROPENEM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
METAMIZOLE,MEDICATION OTHER THAN THERAPY,ANALGESIC
METAMIZOLE MAGNESIUM,MEDICATION OTHER THAN THERAPY,ANALGESIC
METAMIZOLE SODIUM,MEDICATION OTHER THAN THERAPY,ANALGESIC
METAMIZOLE SODIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
METEOSPASMYL                       /01017401/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
METFORMIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
METFORMIN HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
METHADONE,MEDICATION OTHER THAN THERAPY,ANALGESIC
METHADONE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
METHYLCELLULOSE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
METHYLPHENIDATE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
METHYLPREDNISOLONE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
METHYLPREDNISOLONE SODIUM SUCCINATE,MEDICATION OTHER THAN THERAPY,ANALGESIC
METHYLPREDNISOLONE SODIUM SUCCINATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
METHYLSULFONYLMETHANE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
METOCLOPRAMIDE,MEDICATION OTHER THAN THERAPY,ANALGESIC
METOCLOPRAMIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
METOCLOPRAMIDE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,ANALGESIC
METOCLOPRAMIDE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
METOPIMAZINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
METOPROLOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
METOPROLOL SUCCINATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
METOPROLOL TARTRATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
METRONIDAZOLE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MEXIDOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MIANSERIN HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,ANALGESIC
MICROLAX                           /00285401/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MIDAZOLAM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MIDAZOLAM HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MINERAL OIL EMULSION,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MINERALS NOS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MIRTAZAPINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MITOMYCIN,ANTI-TUMOR THERAPY,CHEMOTHERAPY
MODILOC,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MODURETIC,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MOLSIDOMINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MOMETASONE FUROATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MONTELUKAST SODIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MOPADAY,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MORPHINE,MEDICATION OTHER THAN THERAPY,ANALGESIC
MORPHINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MORPHINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,ANALGESIC
MORPHINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MORPHINE SULFATE,MEDICATION OTHER THAN THERAPY,ANALGESIC
MOVICOL                            /01749801/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MOXIFLOXACIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MOXIFLOXACIN HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MOXONIDINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MULTIVITAMINS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MULTIVITAMINS WITH MINERALS        /02319901/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
"MULTIVITAMINS, COMBINATIONS",MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MUPIROCIN CALCIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
MYCOPHENOLATE SODIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NADOLOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NADROPARIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NADROPARIN CALCIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NAFTIDROFURYL OXALATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NALOXONE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NANDROLONE DECANOATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NAPROXEN,MEDICATION OTHER THAN THERAPY,ANALGESIC
NAPROXEN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NAPROXEN SODIUM,MEDICATION OTHER THAN THERAPY,ANALGESIC
NEBIVOLOL HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NEFOPAM HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,ANALGESIC
NEFOPAM HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NEMBUDEINE,MEDICATION OTHER THAN THERAPY,ANALGESIC
NEOGENYL                           /00570001/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NEOGOLASEPTINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NEONUTRIN TS + AG,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NEOSTIGMINE BROMIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NEUROBION                          /00176001/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NICOFURANOSE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NICOTINAM. W/PYRIDOXI. HCL/RIBOFL./THIAM. HCL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NICOTINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NIFEDIPINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NIFLUMIC ACID,MEDICATION OTHER THAN THERAPY,ANALGESIC
NIFUROXAZIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NIMESULIDE,MEDICATION OTHER THAN THERAPY,ANALGESIC
NIMESULIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NIMODIPINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NISOLDIPINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NITRAZEPAM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NITRENDIPINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
NIZATIDINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
