CODELISTNAME,RANK,CODEDVALUE,TRANSLATED,TYPE,CODELISTDICTIONARY,CODELISTVERSION,ORDERNUMBER,sourcedataset,sourcevariable,sourcevalue,sourcetype
LOC,580,METATARSAL BONE,METATARSAL BONE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,581,METATARSOPHALANGEAL JOINT,METATARSOPHALANGEAL JOINT,text,SDTM Terminology,10/6/2014,,,,,character
LOC,582,METATARSOPHALANGEAL JOINT 1,METATARSOPHALANGEAL JOINT 1,text,SDTM Terminology,10/6/2014,,,,,character
LOC,583,METATARSOPHALANGEAL JOINT 2,METATARSOPHALANGEAL JOINT 2,text,SDTM Terminology,10/6/2014,,,,,character
LOC,584,METATARSOPHALANGEAL JOINT 3,METATARSOPHALANGEAL JOINT 3,text,SDTM Terminology,10/6/2014,,,,,character
LOC,585,METATARSOPHALANGEAL JOINT 4,METATARSOPHALANGEAL JOINT 4,text,SDTM Terminology,10/6/2014,,,,,character
LOC,586,METATARSOPHALANGEAL JOINT 5,METATARSOPHALANGEAL JOINT 5,text,SDTM Terminology,10/6/2014,,,,,character
LOC,587,MID-CIRCUMFLEX ARTERY,MID-CIRCUMFLEX ARTERY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,588,MID-JUGULAR LYMPH NODE,MID-JUGULAR LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,589,MID-LAD ARTERY,MID-LAD ARTERY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,590,MID-RIGHT CORONARY ARTERY CONDUIT,MID-RIGHT CORONARY ARTERY CONDUIT,text,SDTM Terminology,10/6/2014,,,,,character
LOC,591,MID/DISTAL LEFT ANTERIOR DESCENDING CORONARY ARTERY AND ALL DIAGONAL CORONARY BRANCHES,MID/DISTAL LEFT ANTERIOR DESCENDING CORONARY ARTERY AND ALL DIAGONAL CORONARY BRANCHES,text,SDTM Terminology,10/6/2014,,,,,character
LOC,592,MIDBRAIN,MIDBRAIN,text,SDTM Terminology,10/6/2014,,,,,character
LOC,593,MIDDLE EAR,MIDDLE EAR,text,SDTM Terminology,10/6/2014,,,,,character
LOC,594,MIDDLE PHALANX 2 OF THE HAND,MIDDLE PHALANX 2 OF THE HAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,595,MIDDLE PHALANX 3 OF THE HAND,MIDDLE PHALANX 3 OF THE HAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,596,MIDDLE PHALANX 4 OF THE HAND,MIDDLE PHALANX 4 OF THE HAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,597,MIDDLE PHALANX 5 OF THE HAND,MIDDLE PHALANX 5 OF THE HAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,598,MITRAL VALVE,MITRAL VALVE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,599,MITRAL VALVE ANNULUS,MITRAL VALVE ANNULUS,text,SDTM Terminology,10/6/2014,,,,,character
LOC,600,"MITRAL VALVE, ANTERIOR ANNULUS","MITRAL VALVE, ANTERIOR ANNULUS",text,SDTM Terminology,10/6/2014,,,,,character
LOC,601,"MITRAL VALVE, ANTERIOR CUSP","MITRAL VALVE, ANTERIOR CUSP",text,SDTM Terminology,10/6/2014,,,,,character
LOC,602,"MITRAL VALVE, POSTERIOR ANNULUS","MITRAL VALVE, POSTERIOR ANNULUS",text,SDTM Terminology,10/6/2014,,,,,character
LOC,603,"MITRAL VALVE, POSTERIOR CUSP","MITRAL VALVE, POSTERIOR CUSP",text,SDTM Terminology,10/6/2014,,,,,character
LOC,604,MOTOR CORTEX,MOTOR CORTEX,text,SDTM Terminology,10/6/2014,,,,,character
LOC,605,MUCOSA,MUCOSA,text,SDTM Terminology,10/6/2014,,,,,character
LOC,606,MUCOSA OF THE LIP,MUCOSA OF THE LIP,text,SDTM Terminology,10/6/2014,,,,,character
LOC,607,MUSCLE,MUSCLE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,608,MUSCULOSKELETAL SYSTEM,MUSCULOSKELETAL SYSTEM,text,SDTM Terminology,10/6/2014,,,,,character
LOC,609,MYOMETRIUM,MYOMETRIUM,text,SDTM Terminology,10/6/2014,,,,,character
LOC,610,NAIL,NAIL,text,SDTM Terminology,10/6/2014,,,,,character
LOC,611,NASAL BONE,NASAL BONE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,612,NASAL CAVITY,NASAL CAVITY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,613,NASAL SEPTUM,NASAL SEPTUM,text,SDTM Terminology,10/6/2014,,,,,character
LOC,614,NASOPHARYNX,NASOPHARYNX,text,SDTM Terminology,10/6/2014,,,,,character
LOC,615,NAVICULAR BONE,NAVICULAR BONE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,616,NECK,NECK,text,SDTM Terminology,10/6/2014,,,,,character
LOC,617,NERVE,NERVE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,618,NIPPLE,NIPPLE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,619,NOSE,NOSE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,620,NOSTRIL,NOSTRIL,text,SDTM Terminology,10/6/2014,,,,,character
LOC,621,NUCHAL LYMPH NODE,NUCHAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,622,NUCLEUS ACCUMBENS,NUCLEUS ACCUMBENS,text,SDTM Terminology,10/6/2014,,,,,character
LOC,623,NUCLEUS OF DIAGONAL BAND,NUCLEUS OF DIAGONAL BAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,624,OBTURATOR EXTERNUS MUSCLE,OBTURATOR EXTERNUS MUSCLE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,625,OBTURATOR INTERNUS MUSCLE,OBTURATOR INTERNUS MUSCLE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,626,OBTURATOR MUSCLE,OBTURATOR MUSCLE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,627,OCCIPITAL LOBE,OCCIPITAL LOBE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,628,OCCIPITAL LYMPH NODE,OCCIPITAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,629,OCCIPITAL SCALP,OCCIPITAL SCALP,text,SDTM Terminology,10/6/2014,,,,,character
LOC,630,OCULOMOTOR NERVE,OCULOMOTOR NERVE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,631,OLECRANON,OLECRANON,text,SDTM Terminology,10/6/2014,,,,,character
LOC,632,OLFACTORY BULB,OLFACTORY BULB,text,SDTM Terminology,10/6/2014,,,,,character
LOC,633,OLFACTORY MUCOSA,OLFACTORY MUCOSA,text,SDTM Terminology,10/6/2014,,,,,character
LOC,634,OLFACTORY NERVE,OLFACTORY NERVE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,635,OMENTUM,OMENTUM,text,SDTM Terminology,10/6/2014,,,,,character
LOC,636,OPHTHALMIC ARTERY,OPHTHALMIC ARTERY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,637,OPPONENS POLLICIS MUSCLE,OPPONENS POLLICIS MUSCLE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,638,OPTIC DISC,OPTIC DISC,text,SDTM Terminology,10/6/2014,,,,,character
LOC,639,OPTIC NERVE,OPTIC NERVE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,640,ORAL CAVITY,ORAL CAVITY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,641,ORAL MUCOSA,ORAL MUCOSA,text,SDTM Terminology,10/6/2014,,,,,character
LOC,642,ORBICULARIS OCULI MUSCLE,ORBICULARIS OCULI MUSCLE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,643,ORBIT,ORBIT,text,SDTM Terminology,10/6/2014,,,,,character
LOC,644,OROPHARYNX,OROPHARYNX,text,SDTM Terminology,10/6/2014,,,,,character
LOC,645,OVARIAN FOLLICLE,OVARIAN FOLLICLE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,646,OVARY,OVARY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,647,PALATINE BONE,PALATINE BONE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,648,PALM,PALM,text,SDTM Terminology,10/6/2014,,,,,character
LOC,649,PANCREAS,PANCREAS,text,SDTM Terminology,10/6/2014,,,,,character
LOC,650,"PANCREAS, BODY","PANCREAS, BODY",text,SDTM Terminology,10/6/2014,,,,,character
LOC,651,"PANCREAS, ENDOCRINE","PANCREAS, ENDOCRINE",text,SDTM Terminology,10/6/2014,,,,,character
LOC,652,"PANCREAS, EXOCRINE","PANCREAS, EXOCRINE",text,SDTM Terminology,10/6/2014,,,,,character
LOC,653,"PANCREAS, HEAD","PANCREAS, HEAD",text,SDTM Terminology,10/6/2014,,,,,character
LOC,654,"PANCREAS, TAIL","PANCREAS, TAIL",text,SDTM Terminology,10/6/2014,,,,,character
LOC,655,PANCREATIC DUCT,PANCREATIC DUCT,text,SDTM Terminology,10/6/2014,,,,,character
LOC,656,PARA-AORTIC LYMPH NODE,PARA-AORTIC LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,657,PARACAVAL LYMPH NODE,PARACAVAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,658,PARACOLIC GUTTER,PARACOLIC GUTTER,text,SDTM Terminology,10/6/2014,,,,,character
LOC,659,PARALARYNGEAL LYMPH NODE,PARALARYNGEAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,660,PARAMETRIUM,PARAMETRIUM,text,SDTM Terminology,10/6/2014,,,,,character
LOC,661,PARANASAL SINUS,PARANASAL SINUS,text,SDTM Terminology,10/6/2014,,,,,character
LOC,662,PARAPHARYNGEAL LYMPH NODE,PARAPHARYNGEAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,663,PARASYMPATHETIC GANGLIA,PARASYMPATHETIC GANGLIA,text,SDTM Terminology,10/6/2014,,,,,character
LOC,664,PARATHYROID GLAND,PARATHYROID GLAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,665,PARATRACHEAL LYMPH NODE,PARATRACHEAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,666,PARAVERTEBRAL GANGLIA,PARAVERTEBRAL GANGLIA,text,SDTM Terminology,10/6/2014,,,,,character
LOC,667,PARIETAL LOBE,PARIETAL LOBE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,668,PAROTID GLAND,PAROTID GLAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,669,PAROTID GLAND LYMPH NODE,PAROTID GLAND LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,670,PARS COMPACTA,PARS COMPACTA,text,SDTM Terminology,10/6/2014,,,,,character
LOC,671,PATELLA,PATELLA,text,SDTM Terminology,10/6/2014,,,,,character
LOC,672,PECTORALIS MAJOR MUSCLE,PECTORALIS MAJOR MUSCLE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,673,PELVIC BONE,PELVIC BONE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,674,PELVIC LYMPH NODE,PELVIC LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,675,PELVIS,PELVIS,text,SDTM Terminology,10/6/2014,,,,,character
LOC,676,PENIS,PENIS,text,SDTM Terminology,10/6/2014,,,,,character
LOC,677,"PENIS, BODY","PENIS, BODY",text,SDTM Terminology,10/6/2014,,,,,character
LOC,678,"PENIS, GLANS","PENIS, GLANS",text,SDTM Terminology,10/6/2014,,,,,character
LOC,679,"PENIS, RADIX","PENIS, RADIX",text,SDTM Terminology,10/6/2014,,,,,character
LOC,680,PERIANAL REGION,PERIANAL REGION,text,SDTM Terminology,10/6/2014,,,,,character
LOC,681,PERICARDIAL CAVITY,PERICARDIAL CAVITY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,682,PERICARDIAL LYMPH NODE,PERICARDIAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,683,PERICARDIAL WALL,PERICARDIAL WALL,text,SDTM Terminology,10/6/2014,,,,,character
LOC,684,PERICARDIUM,PERICARDIUM,text,SDTM Terminology,10/6/2014,,,,,character
LOC,685,PERIHILAR LYMPH NODE,PERIHILAR LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,686,PERINEUM,PERINEUM,text,SDTM Terminology,10/6/2014,,,,,character
LOC,687,PERIPANCREATIC LYMPH NODE,PERIPANCREATIC LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,688,PERIPHERAL NERVE,PERIPHERAL NERVE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,689,PERIRECTAL LYMPH NODE,PERIRECTAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,690,PERITONEAL CAVITY,PERITONEAL CAVITY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,691,PERITONEUM,PERITONEUM,text,SDTM Terminology,10/6/2014,,,,,character
LOC,692,PERIUMBILICAL REGION,PERIUMBILICAL REGION,text,SDTM Terminology,10/6/2014,,,,,character
LOC,693,PERIURETERAL REGION,PERIURETERAL REGION,text,SDTM Terminology,10/6/2014,,,,,character
LOC,694,PERIURETHRAL REGION,PERIURETHRAL REGION,text,SDTM Terminology,10/6/2014,,,,,character
LOC,695,PERONEAL ARTERY,PERONEAL ARTERY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,696,PHARYNGEAL TONSIL,PHARYNGEAL TONSIL,text,SDTM Terminology,10/6/2014,,,,,character
LOC,697,PHARYNX,PHARYNX,text,SDTM Terminology,10/6/2014,,,,,character
LOC,698,PINEAL GLAND,PINEAL GLAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,699,PISIFORM BONE,PISIFORM BONE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,700,PITUITARY GLAND,PITUITARY GLAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,701,PLACENTA,PLACENTA,text,SDTM Terminology,10/6/2014,,,,,character
LOC,702,PLEURA,PLEURA,text,SDTM Terminology,10/6/2014,,,,,character
LOC,703,PLEURAL CAVITY,PLEURAL CAVITY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,704,PONS VAROLII,PONS VAROLII,text,SDTM Terminology,10/6/2014,,,,,character
LOC,705,POPLITEAL ARTERY ABOVE KNEE,POPLITEAL ARTERY ABOVE KNEE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,706,POPLITEAL ARTERY BELOW KNEE,POPLITEAL ARTERY BELOW KNEE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,707,POPLITEAL LYMPH NODE,POPLITEAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,708,POPLITEAL VEIN,POPLITEAL VEIN,text,SDTM Terminology,10/6/2014,,,,,character
LOC,709,PORTA HEPATIS LYMPH NODE,PORTA HEPATIS LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,710,PORTACAVAL LYMPH NODE,PORTACAVAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,711,PORTAL LYMPH NODE,PORTAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,712,PORTAL VEIN,PORTAL VEIN,text,SDTM Terminology,10/6/2014,,,,,character
LOC,713,PORTAL VEIN BIFURCATION,PORTAL VEIN BIFURCATION,text,SDTM Terminology,10/6/2014,,,,,character
LOC,714,POSTERIOR CERVICAL LYMPH NODE,POSTERIOR CERVICAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,715,POSTERIOR CINGULATE CORTEX,POSTERIOR CINGULATE CORTEX,text,SDTM Terminology,10/6/2014,,,,,character
LOC,716,POSTERIOR DESCENDING SEPTAL PERFORATORS ARTERY,POSTERIOR DESCENDING SEPTAL PERFORATORS ARTERY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,717,POSTERIOR POLE OF THE EYE,POSTERIOR POLE OF THE EYE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,718,POSTERIOR SUPERIOR ILIAC SPINE,POSTERIOR SUPERIOR ILIAC SPINE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,719,POSTERIOR TIBIAL ARTERY,POSTERIOR TIBIAL ARTERY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,720,POSTERIOR TIBIAL VEIN,POSTERIOR TIBIAL VEIN,text,SDTM Terminology,10/6/2014,,,,,character
LOC,721,POSTEROLATERAL SEGMENTAL ARTERY,POSTEROLATERAL SEGMENTAL ARTERY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,722,PREAURICULAR LYMPH NODE,PREAURICULAR LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,723,PRECUNEUS,PRECUNEUS,text,SDTM Terminology,10/6/2014,,,,,character
LOC,724,PREFRONTAL CORTEX,PREFRONTAL CORTEX,text,SDTM Terminology,10/6/2014,,,,,character
LOC,725,PRELARYNGEAL LYMPH NODE,PRELARYNGEAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,726,PREPUTIAL GLAND,PREPUTIAL GLAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,727,PRESACRAL LYMPH NODE,PRESACRAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,728,PRESACRAL SPACE,PRESACRAL SPACE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,729,PRETRACHEAL LYMPH NODE,PRETRACHEAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,730,PRIMARY VISUAL CORTEX,PRIMARY VISUAL CORTEX,text,SDTM Terminology,10/6/2014,,,,,character
LOC,731,PROFUNDA FEMORIS ARTERY,PROFUNDA FEMORIS ARTERY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,732,PROFUNDA FEMORIS VEIN,PROFUNDA FEMORIS VEIN,text,SDTM Terminology,10/6/2014,,,,,character
LOC,733,PRONATOR QUADRATUS MUSCLE,PRONATOR QUADRATUS MUSCLE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,734,PRONATOR TERES MUSCLE,PRONATOR TERES MUSCLE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,735,PROSTATE GLAND,PROSTATE GLAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,736,"PROSTATE GLAND, LATERAL LOBE","PROSTATE GLAND, LATERAL LOBE",text,SDTM Terminology,10/6/2014,,,,,character
LOC,737,"PROSTATE GLAND, MIDDLE LOBE","PROSTATE GLAND, MIDDLE LOBE",text,SDTM Terminology,10/6/2014,,,,,character
LOC,738,"PROSTATE GLAND, POSTERIOR LOBE","PROSTATE GLAND, POSTERIOR LOBE",text,SDTM Terminology,10/6/2014,,,,,character
LOC,739,PROXIMAL CIRCUMFLEX ARTERY,PROXIMAL CIRCUMFLEX ARTERY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,740,PROXIMAL INTERPHALANGEAL JOINT 2,PROXIMAL INTERPHALANGEAL JOINT 2,text,SDTM Terminology,10/6/2014,,,,,character
LOC,741,PROXIMAL INTERPHALANGEAL JOINT 2 OF THE FOOT,PROXIMAL INTERPHALANGEAL JOINT 2 OF THE FOOT,text,SDTM Terminology,10/6/2014,,,,,character
LOC,742,PROXIMAL INTERPHALANGEAL JOINT 2 OF THE HAND,PROXIMAL INTERPHALANGEAL JOINT 2 OF THE HAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,743,PROXIMAL INTERPHALANGEAL JOINT 3,PROXIMAL INTERPHALANGEAL JOINT 3,text,SDTM Terminology,10/6/2014,,,,,character
LOC,744,PROXIMAL INTERPHALANGEAL JOINT 3 OF THE FOOT,PROXIMAL INTERPHALANGEAL JOINT 3 OF THE FOOT,text,SDTM Terminology,10/6/2014,,,,,character
LOC,745,PROXIMAL INTERPHALANGEAL JOINT 3 OF THE HAND,PROXIMAL INTERPHALANGEAL JOINT 3 OF THE HAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,746,PROXIMAL INTERPHALANGEAL JOINT 4,PROXIMAL INTERPHALANGEAL JOINT 4,text,SDTM Terminology,10/6/2014,,,,,character
LOC,747,PROXIMAL INTERPHALANGEAL JOINT 4 OF THE FOOT,PROXIMAL INTERPHALANGEAL JOINT 4 OF THE FOOT,text,SDTM Terminology,10/6/2014,,,,,character
LOC,748,PROXIMAL INTERPHALANGEAL JOINT 4 OF THE HAND,PROXIMAL INTERPHALANGEAL JOINT 4 OF THE HAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,749,PROXIMAL INTERPHALANGEAL JOINT 5,PROXIMAL INTERPHALANGEAL JOINT 5,text,SDTM Terminology,10/6/2014,,,,,character
LOC,750,PROXIMAL INTERPHALANGEAL JOINT 5 OF THE FOOT,PROXIMAL INTERPHALANGEAL JOINT 5 OF THE FOOT,text,SDTM Terminology,10/6/2014,,,,,character
LOC,751,PROXIMAL INTERPHALANGEAL JOINT 5 OF THE HAND,PROXIMAL INTERPHALANGEAL JOINT 5 OF THE HAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,752,PROXIMAL LAD ARTERY,PROXIMAL LAD ARTERY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,753,PROXIMAL PHALANX 1 OF THE HAND,PROXIMAL PHALANX 1 OF THE HAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,754,PROXIMAL PHALANX 2 OF THE HAND,PROXIMAL PHALANX 2 OF THE HAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,755,PROXIMAL PHALANX 3 OF THE HAND,PROXIMAL PHALANX 3 OF THE HAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,756,PROXIMAL PHALANX 4 OF THE HAND,PROXIMAL PHALANX 4 OF THE HAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,757,PROXIMAL PHALANX 5 OF THE HAND,PROXIMAL PHALANX 5 OF THE HAND,text,SDTM Terminology,10/6/2014,,,,,character
LOC,758,PROXIMAL RIGHT CORONARY ARTERY CONDUIT,PROXIMAL RIGHT CORONARY ARTERY CONDUIT,text,SDTM Terminology,10/6/2014,,,,,character
LOC,759,PROXIMAL URETHRA,PROXIMAL URETHRA,text,SDTM Terminology,10/6/2014,,,,,character
LOC,760,PUBIC BONE,PUBIC BONE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,761,PULMONARY ARTERY BRANCH,PULMONARY ARTERY BRANCH,text,SDTM Terminology,10/6/2014,,,,,character
LOC,762,PULMONARY TRUNK,PULMONARY TRUNK,text,SDTM Terminology,10/6/2014,,,,,character
LOC,763,PULMONARY VALVE,PULMONARY VALVE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,764,"PULMONARY VALVE, ANTERIOR CUSP","PULMONARY VALVE, ANTERIOR CUSP",text,SDTM Terminology,10/6/2014,,,,,character
LOC,765,"PULMONARY VALVE, LEFT CUSP","PULMONARY VALVE, LEFT CUSP",text,SDTM Terminology,10/6/2014,,,,,character
LOC,766,"PULMONARY VALVE, RIGHT CUSP","PULMONARY VALVE, RIGHT CUSP",text,SDTM Terminology,10/6/2014,,,,,character
LOC,767,PUPIL,PUPIL,text,SDTM Terminology,10/6/2014,,,,,character
LOC,768,PUTAMEN,PUTAMEN,text,SDTM Terminology,10/6/2014,,,,,character
LOC,769,PYLORIC SPHINCTER,PYLORIC SPHINCTER,text,SDTM Terminology,10/6/2014,,,,,character
LOC,770,"PYRAMIDAL TRACTS, BRAINSTEM","PYRAMIDAL TRACTS, BRAINSTEM",text,SDTM Terminology,10/6/2014,,,,,character
LOC,771,"PYRAMIDAL TRACTS, INTERNAL CAPSULE","PYRAMIDAL TRACTS, INTERNAL CAPSULE",text,SDTM Terminology,10/6/2014,,,,,character
LOC,772,QUADRICEPS MUSCLE,QUADRICEPS MUSCLE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,773,RADIAL ARTERY,RADIAL ARTERY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,774,RADIUS,RADIUS,text,SDTM Terminology,10/6/2014,,,,,character
LOC,775,RADIUS SHAFT,RADIUS SHAFT,text,SDTM Terminology,10/6/2014,,,,,character
LOC,776,RADIUS-LUNATE JOINT,RADIUS-LUNATE JOINT,text,SDTM Terminology,10/6/2014,,,,,character
LOC,777,RAMUS INTERMEDIUS ARTERY,RAMUS INTERMEDIUS ARTERY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,778,RAPHE,RAPHE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,779,RECTO-UTERINE POUCH,RECTO-UTERINE POUCH,text,SDTM Terminology,10/6/2014,,,,,character
LOC,780,RECTOSIGMOID JUNCTION,RECTOSIGMOID JUNCTION,text,SDTM Terminology,10/6/2014,,,,,character
LOC,781,RECTOVAGINAL SPACE,RECTOVAGINAL SPACE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,782,RECTUM,RECTUM,text,SDTM Terminology,10/6/2014,,,,,character
LOC,783,RECTUS FEMORIS MUSCLE,RECTUS FEMORIS MUSCLE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,784,REGIONAL LYMPH NODE,REGIONAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,785,RENAL ARTERY,RENAL ARTERY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,786,RENAL FOSSA,RENAL FOSSA,text,SDTM Terminology,10/6/2014,,,,,character
LOC,787,RENAL PELVIS,RENAL PELVIS,text,SDTM Terminology,10/6/2014,,,,,character
LOC,788,RESPIRATORY SYSTEM,RESPIRATORY SYSTEM,text,SDTM Terminology,10/6/2014,,,,,character
LOC,789,RETINA,RETINA,text,SDTM Terminology,10/6/2014,,,,,character
LOC,790,RETINAL ARTERY,RETINAL ARTERY,text,SDTM Terminology,10/6/2014,,,,,character
LOC,791,RETINAL NERVE FIBER LAYER,RETINAL NERVE FIBER LAYER,text,SDTM Terminology,10/6/2014,,,,,character
LOC,792,RETINAL PIGMENTED EPITHELIAL LAYER,RETINAL PIGMENTED EPITHELIAL LAYER,text,SDTM Terminology,10/6/2014,,,,,character
LOC,793,RETROAURICULAR LYMPH NODE,RETROAURICULAR LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,794,RETROCRURAL LYMPH NODE,RETROCRURAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,795,RETROPERITONEAL LYMPH NODE,RETROPERITONEAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,796,RETROPERITONEUM,RETROPERITONEUM,text,SDTM Terminology,10/6/2014,,,,,character
LOC,797,RETROPHARYNGEAL LYMPH NODE,RETROPHARYNGEAL LYMPH NODE,text,SDTM Terminology,10/6/2014,,,,,character
LOC,798,RIB,RIB,text,SDTM Terminology,10/6/2014,,,,,character
LOC,799,RIB 1,RIB 1,text,SDTM Terminology,10/6/2014,,,,,character
LOC,800,RIB 10,RIB 10,text,SDTM Terminology,10/6/2014,,,,,character
LOC,801,RIB 11,RIB 11,text,SDTM Terminology,10/6/2014,,,,,character
LOC,802,RIB 12,RIB 12,text,SDTM Terminology,10/6/2014,,,,,character
LOC,803,RIB 2,RIB 2,text,SDTM Terminology,10/6/2014,,,,,character
LOC,804,RIB 3,RIB 3,text,SDTM Terminology,10/6/2014,,,,,character
LOC,805,RIB 4,RIB 4,text,SDTM Terminology,10/6/2014,,,,,character
LOC,806,RIB 5,RIB 5,text,SDTM Terminology,10/6/2014,,,,,character
LOC,807,RIB 6,RIB 6,text,SDTM Terminology,10/6/2014,,,,,character
LOC,808,RIB 7,RIB 7,text,SDTM Terminology,10/6/2014,,,,,character
LOC,809,RIB 8,RIB 8,text,SDTM Terminology,10/6/2014,,,,,character
