MHTERM,Lowest_Level_Term,Preferred_Term,High_Level_Term,High_Level_Group_Term,Body_System_Or_Organ_Class,AESOC
Congestive heart failure,Congestive heart failure,Cardiac failure congestive,Heart failures NEC,Heart failures,Cardiac disorders,Cardiac disorders
Constipation,Absent bowel movement,Constipation,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal motility and defaecation conditions,Gastrointestinal disorders,Gastrointestinal disorders
Constipation chronic,Constipation chronic,Constipation,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal motility and defaecation conditions,Gastrointestinal disorders,Gastrointestinal disorders
Coronary artery bypass,Coronary artery bypass graft,Coronary artery bypass,Arterial therapeutic procedures (excl aortic),Vascular therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Coronary artery bypass graft,Coronary artery bypass graft,Coronary artery bypass,Arterial therapeutic procedures (excl aortic),Vascular therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Coronary artery disease,Coronary artery disease NOS,Coronary artery disease,Coronary artery disorders NEC,Coronary artery disorders,Cardiac disorders,Cardiac disorders
Coronary atherosclerosis,Coronary atherosclerosis,Arteriosclerosis coronary artery,Coronary artery disorders NEC,Coronary artery disorders,Cardiac disorders,Cardiac disorders
Coronary bypass,Coronary bypass,Coronary artery bypass,Arterial therapeutic procedures (excl aortic),Vascular therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Coronary heart disease,Coronary heart disease,Coronary artery disease,Coronary artery disorders NEC,Coronary artery disorders,Cardiac disorders,Cardiac disorders
Coronary stent placement,Coronary stent placement,Coronary arterial stent insertion,Arterial therapeutic procedures (excl aortic),Vascular therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Cough,Coughing,Cough,Coughing and associated symptoms,Respiratory disorders NEC,"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Coxarthrosis,Coxarthrosis,Osteoarthritis,Osteoarthropathies,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Cramps,Cramps,Muscle spasms,Muscle related signs and symptoms NEC,Muscle disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Cyst,Cyst NOS,Cyst,Neoplasms benign site unspecified NEC,Miscellaneous and site unspecified neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Cyst of kidney,Cyst of kidney,Renal cyst,Renal neoplasms benign,Renal and urinary tract neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Cyst removal,Parasitic cyst removal,Cyst removal,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures,Surgical and medical procedures
Cystocele repair,Cystocele repair,Cystocele repair,Bladder therapeutic procedures,Renal and urinary tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
D & C,D & C,Uterine dilation and curettage,Uterine therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Deafness,Deafness NOS,Deafness,Hearing losses,Hearing disorders,Ear and labyrinth disorders,Ear and labyrinth disorders
Decubitus,Decubitus,Decubitus ulcer,Skin injuries and mechanical dermatoses,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders,Skin and subcutaneous tissue disorders
Deep vein thrombosis,Deep venous thrombosis NOS,Deep vein thrombosis,Peripheral embolism and thrombosis,Embolism and thrombosis,Vascular disorders,Vascular disorders
Deep vein thrombosis leg,Deep vein thrombosis leg,Deep vein thrombosis,Peripheral embolism and thrombosis,Embolism and thrombosis,Vascular disorders,Vascular disorders
Degenerative joint disease,Degenerative joint disease,Osteoarthritis,Osteoarthropathies,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Denture wearer,Denture wearer,Denture wearer,Disability issues,Lifestyle issues,Social circumstances,Social circumstances
Depressed mood,Mood depression,Depressed mood,Mood alterations with depressive symptoms,Depressed mood disorders and disturbances,Psychiatric disorders,Psychiatric disorders
Depression,Depression NOS,Depression,Depressive disorders,Depressed mood disorders and disturbances,Psychiatric disorders,Psychiatric disorders
Deviated nasal septum,Deviated nasal septum,Nasal septum deviation,Nasal disorders NEC,Upper respiratory tract disorders (excl infections),"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Diabetes,Diabetes,Diabetes mellitus,Diabetes mellitus (incl subtypes),Glucose metabolism disorders (incl diabetes mellitus),Metabolism and nutrition disorders,Metabolism and nutrition disorders
Diabetes mellitus,Diabetes mellitus NOS,Diabetes mellitus,Diabetes mellitus (incl subtypes),Glucose metabolism disorders (incl diabetes mellitus),Metabolism and nutrition disorders,Metabolism and nutrition disorders
Diabetes mellitus non-insulin-dependent,Diabetes mellitus non-insulin-dependent,Type 2 diabetes mellitus,Diabetes mellitus (incl subtypes),Glucose metabolism disorders (incl diabetes mellitus),Metabolism and nutrition disorders,Metabolism and nutrition disorders
Diabetic neuropathy,Diabetes with neurological manifestations,Diabetic neuropathy,Diabetic complications neurological,Diabetic complications,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Diabetic polyneuropathy,Diabetic polyneuropathy,Diabetic neuropathy,Diabetic complications neurological,Diabetic complications,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Diaphragmalgia,Pain in diaphragm,Diaphragmalgia,Respiratory signs and symptoms NEC,Respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Diaphragmatic hernia,Diaphragmatic hernia NOS,Diaphragmatic hernia,Diaphragmatic hernias,Abdominal hernias and other abdominal wall conditions,,Gastrointestinal disorders
Diarrhea,Diarrhea,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal motility and defaecation conditions,Gastrointestinal disorders,Gastrointestinal disorders
Diarrhoea,Diarrhea NOS,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal motility and defaecation conditions,Gastrointestinal disorders,Gastrointestinal disorders
Difficulty in micturition,Difficulty in micturition,Dysuria,Bladder and urethral symptoms,Urinary tract signs and symptoms,Renal and urinary disorders,Renal and urinary disorders
Diverticulitis,Diverticulitis NOS,Diverticulitis,Diverticulum inflammations,Diverticular disorders,Gastrointestinal disorders,Gastrointestinal disorders
Diverticulosis,Diverticulosis,Diverticulum,Diverticula,Diverticular disorders,Gastrointestinal disorders,Gastrointestinal disorders
Dizziness,Light headedness,Dizziness,Neurological signs and symptoms NEC,,Neurological disorders NEC,Nervous system disorders
Dolichocolon,Redundant colon,Dolichocolon,Large intestinal stenosis and obstruction,Gastrointestinal stenosis and obstruction,Gastrointestinal disorders,Gastrointestinal disorders
Drug intolerance,Drug intolerance NOS,Drug intolerance,Therapeutic and nontherapeutic responses,Therapeutic and nontherapeutic effects (excl toxicity),General disorders and administration site conditions,General disorders and administration site conditions
Drug rash,Drug rash,Drug eruption,Dermatitis ascribed to specific agent,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders,Skin and subcutaneous tissue disorders
Duodenal ulcer,Ulcer duodenal,Duodenal ulcer,Duodenal ulcers and perforation,Gastrointestinal ulceration and perforation,Gastrointestinal disorders,Gastrointestinal disorders
Dyslipidemia,Dyslipidemia,Dyslipidaemia,Lipid metabolism and deposit disorders NEC,Lipid metabolism disorders,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Dyspepsia,Indigestion,Dyspepsia,Dyspeptic signs and symptoms,Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Dysphagia,Swallowing difficult,Dysphagia,Gastrointestinal signs and symptoms NEC,,Gastrointestinal disorders,Gastrointestinal disorders
Dyspnea,Dyspnea,Dyspnoea,Dyspnoeas,Cardiac disorder signs and symptoms,Cardiac disorders,Cardiac disorders
ECG signs of myocardial ischae,ECG signs of myocardial ischemia,ECG signs of myocardial ischaemia,ECG investigations,Cardiac and vascular investigations (excl enzyme tests),Investigations,Investigations
ERCP,ERCP,Endoscopic retrograde cholangiopancreatography,Hepatobiliary imaging procedures,Hepatobiliary investigations,Investigations,Investigations
Ear injury,Open wound of ear,Ear injury,Ear disorders NEC,Aural disorders NEC,Ear and labyrinth disorders,Ear and labyrinth disorders
Ectopic pregnancy,Extra-uterine pregnancy,Ectopic pregnancy,Maternal complications of pregnancy NEC,Maternal complications of pregnancy,"Pregnancy, puerperium and perinatal conditions","Pregnancy, puerperium and perinatal conditions"
Ectopic pregnancy termination,Ectopic pregnancy termination,Ectopic pregnancy termination,Fallopian tube therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Elbow fracture,Elbow fracture,Upper limb fracture,Limb fractures and dislocations,Bone and joint injuries,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Electrocardiogram ST segment abnormal,Nonspecific ST segment change,Electrocardiogram ST segment abnormal,ECG investigations,Cardiac and vascular investigations (excl enzyme tests),Investigations,Investigations
Elevated liver enzymes,Elevated liver enzymes,Hepatic enzyme increased,Liver function analyses,Hepatobiliary investigations,Investigations,Investigations
Emphysema,Compensatory emphysema,Emphysema,Parenchymal lung disorders NEC,Lower respiratory tract disorders (excl obstruction and infection),"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Emphysema pulmonary,Emphysema pulmonary,Emphysema,Parenchymal lung disorders NEC,Lower respiratory tract disorders (excl obstruction and infection),"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Endometrial cancer,Endometrial cancer NOS,Endometrial cancer,Uterine neoplasms,"Uterine, pelvic and broad ligament disorders",Reproductive system and breast disorders,Reproductive system and breast disorders
Endometrial carcinoma,Endometrial carcinoma,Endometrial cancer,Uterine neoplasms,"Uterine, pelvic and broad ligament disorders",Reproductive system and breast disorders,Reproductive system and breast disorders
Endometrial hyperplasia,Hyperplasia endometrial,Endometrial hyperplasia,Uterine disorders NEC,"Uterine, pelvic and broad ligament disorders",Reproductive system and breast disorders,Reproductive system and breast disorders
Endometriotic cyst,Endometriotic cyst,Endometriosis,Uterine disorders NEC,"Uterine, pelvic and broad ligament disorders",Reproductive system and breast disorders,Reproductive system and breast disorders
Enlarged prostate,Enlarged prostate,Prostatomegaly,"Prostatic signs, symptoms and disorders NEC",Prostatic disorders (excl infections and inflammations),Reproductive system and breast disorders,Reproductive system and breast disorders
Epigastralgia,Epigastralgia,Abdominal pain upper,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Epigastric pain,Epigastric pain,Abdominal pain upper,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Epistaxis,Haemorrhage nasal,Epistaxis,Haemorrhages NEC,Vascular haemorrhagic disorders,Vascular disorders,Vascular disorders
Erysipelas,Erysipelas,Erysipelas,Skin and subcutaneous tissue bacterial infections,Skin and subcutaneous tissue infections and infestations,Skin and subcutaneous tissue disorders,Skin and subcutaneous tissue disorders
Erythrocytosis,Erythrocytosis,Polycythaemia,Polycythaemia (excl rubra vera),Red blood cell disorders,Blood and lymphatic system disorders,Blood and lymphatic system disorders
Esophageal hernia,Esophageal hernia,Hiatus hernia,Diaphragmatic hernias,Abdominal hernias and other abdominal wall conditions,Gastrointestinal disorders,Gastrointestinal disorders
Esophageal reflux,Esophageal reflux,Gastrooesophageal reflux disease,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal motility and defaecation conditions,Gastrointestinal disorders,Gastrointestinal disorders
Esophageal ulceration,Esophageal ulceration,Oesophageal ulcer,Oesophageal ulcers and perforation,Gastrointestinal ulceration and perforation,Gastrointestinal disorders,Gastrointestinal disorders
Esophagitis,Esophagitis,Oesophagitis,Oesophagitis (excl infective),Gastrointestinal inflammatory conditions,Gastrointestinal disorders,Gastrointestinal disorders
Exertional dyspnea,Exertional dyspnea,Dyspnoea exertional,Dyspnoeas,Cardiac disorder signs and symptoms,Cardiac disorders,Cardiac disorders
Eye operation,Eye operation NOS,Eye operation,Eye therapeutic procedures NEC,Eye therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Facial paresis,Facial weakness,Facial paresis,Facial cranial nerve disorders,Cranial nerve disorders (excl neoplasms),Nervous system disorders,Nervous system disorders
Fatigue,Tiredness,Fatigue,Asthenic conditions,General system disorders NEC,General disorders and administration site conditions,General disorders and administration site conditions
Fatty liver,Fatty liver,Hepatic steatosis,Hepatocellular damage and hepatitis NEC,Hepatic and hepatobiliary disorders,Hepatobiliary disorders,Hepatobiliary disorders
Febrile seizure,Febrile seizure,Febrile convulsion,Seizures and seizure disorders NEC,Seizures (incl subtypes),Nervous system disorders,Nervous system disorders
Femoral hernia,Femoral hernia NOS,Femoral hernia,Femoral hernias,Abdominal hernias and other abdominal wall conditions,Gastrointestinal disorders,Gastrointestinal disorders
Fever,Fever,Pyrexia,Febrile disorders,Body temperature conditions,General disorders and administration site conditions,General disorders and administration site conditions
Fibrocystic disease of breast,Fibrocystic disease of breast,Fibrocystic breast disease,Breast and nipple neoplasms benign,Breast neoplasms benign (incl nipple),"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Fibroma,Fibroma NOS,Fibroma,Neoplasms benign site unspecified NEC,Miscellaneous and site unspecified neoplasms benign,Miscellaneous and site unspecified neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Fistula repair,Fistula repair,Fistula repair,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures,Surgical and medical procedures
Flank pain,Pain flank,Flank pain,Urinary tract signs and symptoms NEC,Urinary tract signs and symptoms,Renal and urinary disorders,Renal and urinary disorders
Folliculitis,Scalp folliculitis,Folliculitis,Skin structures and soft tissue infections,Infections - pathogen unspecified,Infections and infestations,Infections and infestations
Foot operation,Foot operation NOS,Foot operation,Limb therapeutic procedures,Bone and joint therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Foot surgery,Foot surgery,Foot operation,Limb therapeutic procedures,Bone and joint therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Fracture of ankle,Fracture of ankle,Ankle fracture,Limb fractures and dislocations,Bone and joint injuries,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Fractured wrist,Fractured wrist,Wrist fracture,Limb fractures and dislocations,Bone and joint injuries,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Frontal headache,Frontal headache,Headache,Headaches NEC,Headaches,Nervous system disorders,Nervous system disorders
Fusion cervical spine,Fusion cervical spine,Spinal fusion surgery,Spine and spinal cord therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures,Surgical and medical procedures
GERD,GERD,Gastrooesophageal reflux disease,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal motility and defaecation conditions,Gastrointestinal disorders,Gastrointestinal disorders
GI bleed,GI bleed,Gastrointestinal haemorrhage,Non-site specific gastrointestinal haemorrhages,Gastrointestinal haemorrhages NEC,Gastrointestinal disorders,Gastrointestinal disorders
Gallbladder stones,Gallbladder stones,Cholelithiasis,Cholecystitis and cholelithiasis,Gallbladder disorders,Hepatobiliary disorders,Hepatobiliary disorders
Gallstones,Gallstones,Cholelithiasis,Cholecystitis and cholelithiasis,Gallbladder disorders,Hepatobiliary disorders,Hepatobiliary disorders
Gastric bypass,Gastric bypass NOS,Gastric bypass,Gastric therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Gastric disorder,Gastric function disorder NOS,Gastric disorder,Gastrointestinal disorders NEC,Gastrointestinal conditions NEC,Gastrointestinal disorders,Gastrointestinal disorders
Gastric polyps,Gastric gland polyp,Gastric polyps,Benign neoplasms gastrointestinal (excl oral cavity),Benign neoplasms gastrointestinal,Gastrointestinal disorders,Gastrointestinal disorders
Gastric resection,Gastric resection,Gastrectomy,Gastric therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Gastric ulcer,Ulcer gastric,Gastric ulcer,Gastric ulcers and perforation,Gastrointestinal ulceration and perforation,Gastrointestinal disorders,Gastrointestinal disorders
Gastritis,Gastritis NOS,Gastritis,Gastritis (excl infective),Gastrointestinal inflammatory conditions,Gastrointestinal disorders,Gastrointestinal disorders
Gastritis erosive,Gastric erosions,Gastritis erosive,Gastric ulcers and perforation,Gastrointestinal ulceration and perforation,Gastrointestinal disorders,Gastrointestinal disorders
Gastro-enterostomy,Gastroduodenostomy,Gastroenterostomy,Gastric therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Gastrocardiac syndrome,Roemheld syndrome,Gastrocardiac syndrome,Gastrointestinal signs and symptoms NEC,Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Gastroduodenal ulcer,Ulcer gastroduodenal,Gastroduodenal ulcer,Duodenal ulcers and perforation,Gastrointestinal ulceration and perforation,Gastrointestinal disorders,Gastrointestinal disorders
Gastroduodenitis,Gastroduodenitis,Gastroduodenitis,Gastritis (excl infective),Gastrointestinal inflammatory conditions,Gastrointestinal disorders,Gastrointestinal disorders
Gastroesophageal reflux,Gastroesophageal reflux,Gastrooesophageal reflux disease,Gastrointestinal atonic and hypomotility disorders NEC,,Gastrointestinal disorders,Gastrointestinal disorders
Gastroesophageal reflux disease,Gastroesophageal reflux disease,Gastrooesophageal reflux disease,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal motility and defaecation conditions,Gastrointestinal disorders,Gastrointestinal disorders
Gastrointestinal discomfort,Gastrointestinal discomfort,Abdominal discomfort,Gastrointestinal signs and symptoms NEC,Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Gastrointestinal haemorrhage,Gastrointestinal haemorrhage NOS,Gastrointestinal haemorrhage,Non-site specific gastrointestinal haemorrhages,Gastrointestinal haemorrhages NEC,Gastrointestinal disorders,Gastrointestinal disorders
Gastrointestinal tube insertion,Feeding tube insertion,Gastrointestinal tube insertion,Gastrointestinal therapeutic procedures NEC,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Gastrooesophageal reflux,Gastrooesophageal reflux,Gastrooesophageal reflux disease,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal motility and defaecation conditions,Gastrointestinal disorders,Gastrointestinal disorders
Gastrooesophageal reflux disea,Gastroesophageal reflux disease,Gastrooesophageal reflux disease,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal motility and defaecation conditions,Gastrointestinal disorders,Gastrointestinal disorders
Gastroparesis,Gastroparesis,Impaired gastric emptying,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal motility and defaecation conditions,Gastrointestinal disorders,Gastrointestinal disorders
Gastroscopy,Gastroscopy,Endoscopy upper gastrointestinal tract,Gastrointestinal and abdominal imaging procedures,Gastrointestinal investigations,Investigations,Investigations
General body pain,General body pain,Pain,Pain and discomfort NEC,General system disorders NEC,General disorders and administration site conditions,General disorders and administration site conditions
Genital prolapse,Genital prolapse NOS,Genital prolapse,Pelvic prolapse conditions,"Uterine, pelvic and broad ligament disorders",Reproductive system and breast disorders,Reproductive system and breast disorders
Glandular fever,Glandular fever,Infectious mononucleosis,Epstein-Barr viral infections,Viral infectious disorders,Infections and infestations,Infections and infestations
Glaucoma,Glaucoma NOS,Glaucoma,Glaucomas (excl congenital),Glaucoma and ocular hypertension,Eye disorders,Eye disorders
Goiter nodular,Goiter nodular,Goitre,Thyroid disorders NEC,Thyroid gland disorders,Endocrine disorders,Endocrine disorders
Gonarthrosis,Gonarthrosis,Osteoarthritis,Osteoarthropathies,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Gout,Gout acute,Gout,Crystal arthropathic disorders,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Groin pain,Pain groin,Groin pain,Soft tissue disorders NEC,Musculoskeletal and connective tissue disorders NEC,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Gun shot wound,Gun shot wound,Gun shot wound,Non-site specific injuries NEC,Injuries NEC,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Headache,Headache NOS,Headache,Headaches NEC,Headaches,Nervous system disorders,Nervous system disorders
Hearing loss,Hearing loss,Deafness,Hearing losses,Hearing disorders,Ear and labyrinth disorders,Ear and labyrinth disorders
Hearing loss bilateral,Hearing loss bilateral,Deafness bilateral,Hearing losses,Hearing disorders,Ear and labyrinth disorders,Ear and labyrinth disorders
Heartburn,Heartburn,Dyspepsia,Dyspeptic signs and symptoms,Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Helicobacter pylori gastritis,Helicobacter pylori gastritis,Helicobacter gastritis,Helicobacter infections,Bacterial infectious disorders,Infections and infestations,Infections and infestations
Helicobacter pylori infection,Helicobacter pylori infection,Helicobacter infection,Helicobacter infections,Bacterial infectious disorders,Infections and infestations,Infections and infestations
Hemangioma of liver,Hemangioma of liver,Haemangioma of liver,Hepatobiliary neoplasms benign,Hepatic and biliary neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Hematoma evacuation,Hematoma evacuation,Haematoma evacuation,Vascular therapeutic procedures NEC,Vascular therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Hematuria,Hematuria,Haematuria,Reproductive tract signs and symptoms NEC,Reproductive tract disorders NEC,Reproductive system and breast disorders,Reproductive system and breast disorders
Hemithyroidectomy,Hemithyroidectomy,Thyroidectomy,Thyroid therapeutic procedures,Endocrine gland therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Hemorrhagic anemia,Hemorrhagic anemia,Haemorrhagic anaemia,Anaemias NEC,Anaemias nonhaemolytic and marrow depression,Blood and lymphatic system disorders,Blood and lymphatic system disorders
Hemorrhoidectomy,Hemorrhoidectomy,Haemorrhoid operation,Anorectal therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Hemorrhoids,Hemorrhoids,Haemorrhoids,Gastrointestinal varicosities and haemorrhoids,Venous varices,Vascular disorders,Vascular disorders
Hepatectomy,Hepatectomy NOS,Hepatectomy,Hepatic therapeutic procedures,Hepatobiliary therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Hepatic cirrhosis,Hepatic cirrhosis NOS,Hepatic cirrhosis,Hepatic fibrosis and cirrhosis,Hepatic and hepatobiliary disorders,Hepatobiliary disorders,Hepatobiliary disorders
Hepatic cyst,Hepatic cyst NOS,Hepatic cyst,Hepatic and hepatobiliary disorders NEC,Hepatic and hepatobiliary disorders,Hepatobiliary disorders,Hepatobiliary disorders
Hepatic steatosis,Steatosis hepatic,Hepatic steatosis,Hepatocellular damage and hepatitis NEC,Hepatic and hepatobiliary disorders,Hepatobiliary disorders,Hepatobiliary disorders
Hepatitis,Hepatitis NOS,Hepatitis,Hepatocellular damage and hepatitis NEC,Hepatic and hepatobiliary disorders,Hepatobiliary disorders,Hepatobiliary disorders
Hepatitis A,Viral hepatitis A,Hepatitis A,Hepatitis viral infections,Viral infectious disorders,Infections and infestations,Infections and infestations
Hepatitis B,Viral hepatitis B,Hepatitis B,Hepatitis viral infections,Viral infectious disorders,Infections and infestations,Infections and infestations
Hepatitis C,Viral hepatitis C,Hepatitis C,Hepatitis viral infections,Viral infectious disorders,Infections and infestations,Infections and infestations
Hepatomegaly,Liver enlargement,Hepatomegaly,Hepatobiliary signs and symptoms,Hepatic and hepatobiliary disorders,Hepatobiliary disorders,Hepatobiliary disorders
Hereditary hemochromatosis,Hereditary hemochromatosis,Hereditary haemochromatosis,Hepatobiliary abnormalities congenital,Hepatobiliary disorders congenital,"Congenital, familial and genetic disorders","Congenital, familial and genetic disorders"
Hernia hiatal,Hernia hiatal,Hiatus hernia,Diaphragmatic hernias,Abdominal hernias and other abdominal wall conditions,Gastrointestinal disorders,Gastrointestinal disorders
Hernia repair,Hernia repair NOS,Hernia repair,Hernia repairs,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Herniated disc,Herniated disc,Intervertebral disc protrusion,Intervertebral disc disorders NEC,Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Hiatal hernia,Hiatal hernia,Hiatus hernia,Diaphragmatic hernias,Abdominal hernias and other abdominal wall conditions,Gastrointestinal disorders,Gastrointestinal disorders
Hiatus hernia,Hiatal hernia,Hiatus hernia,Diaphragmatic hernias,Abdominal hernias and other abdominal wall conditions,Gastrointestinal disorders,Gastrointestinal disorders
Hip prosthesis insertion,Hip prosthesis insertion,Hip arthroplasty,Joint therapeutic procedures,Bone and joint therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Hip replacement,Hip replacement,Hip arthroplasty,Joint therapeutic procedures,Bone and joint therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Hip surgery,Hip operation NOS,Hip surgery,Joint therapeutic procedures,Bone and joint therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Hoarseness,Hoarseness,Dysphonia,Speech articulation and rhythm disturbances,Communication disorders and disturbances,Psychiatric disorders,Psychiatric disorders
Hodgkin's disease,Hodgkin's disease NOS,Hodgkin's disease,Hodgkin's disease NEC,Lymphomas Hodgkin's disease,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Horseshoe kidney,Horseshoe kidney,Renal fusion anomaly,Renal disorders congenital,Renal and urinary tract disorders congenital,"Congenital, familial and genetic disorders","Congenital, familial and genetic disorders"
Hot flushes,Hot flushes,Hot flush,Peripheral vascular disorders NEC,Vascular disorders NEC,Vascular disorders,Vascular disorders
Hydrocele,"Hydrocele, unspecified",Hydrocele,Scrotal disorders NEC,Penile and scrotal disorders (excl infections and inflammations),Reproductive system and breast disorders,Reproductive system and breast disorders
Hydronephrosis,Bilateral hydronephrosis,Hydronephrosis,Renal obstructive disorders,Renal disorders (excl nephropathies),Renal and urinary disorders,Renal and urinary disorders
Hypercalcaemia,Hypercalcemia,Hypercalcaemia,Calcium metabolism disorders,"Bone, calcium, magnesium and phosphorus metabolism disorders",Metabolism and nutrition disorders,Metabolism and nutrition disorders
Hypercalcemia,Hypercalcemia,Hypercalcaemia,Calcium metabolism disorders,"Bone, calcium, magnesium and phosphorus metabolism disorders",Metabolism and nutrition disorders,Metabolism and nutrition disorders
Hypercholesterolemia,Hypercholesterolemia,Hypercholesterolaemia,Elevated cholesterol,Lipid metabolism disorders,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Hyperlipidemia,Hyperlipidemia,Hyperlipidaemia,Hyperlipidaemias NEC,Lipid metabolism disorders,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Hyperlipoproteinemia,Hyperlipoproteinemia,Hyperlipidaemia,Hyperlipidaemias NEC,Lipid metabolism disorders,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Hyperplasia adrenal,Hyperplasia adrenal,Hyperadrenalism,Metabolic disorders NEC,Metabolism disorders NEC,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Hyperplasia of prostate,Hyperplasia of prostate,Benign prostatic hyperplasia,Prostatic neoplasms and hypertrophy,Prostatic disorders (excl infections and inflammations),Reproductive system and breast disorders,Reproductive system and breast disorders
Hypertension,Hypertension NOS,Hypertension,Vascular hypertensive disorders NEC,Vascular hypertensive disorders,Vascular disorders,Vascular disorders
