CMTRT,CMDECOD,Anatomical Class,Anatomical Class Code,Therapeutic Class,Therapeutic Class Code,Pharmacological Class,Pharmacological Class Code,Chemical Class,ATC Code
CLONAZEPAM,Clonazepam,Nervous System,N,Antiepileptics,N03,Antiepileptics,N03A,Benzodiazepine Derivatives,N03AE
CLONIDINE,Clonidine,Cardiovascular System,C,Antihypertensives,C02,"Antiadrenergic Agents, Centrally Acting",C02A,Imidazoline Receptor Agonists,C02AC
CLONIDINE HYDROCHLORIDE,Clonidine Hydrochloride,Cardiovascular System,C,Antihypertensives,C02,"Antiadrenergic Agents, Centrally Acting",C02A,Imidazoline Receptor Agonists,C02AC
CLOPIDOGREL,Clopidogrel,Blood And Blood Forming Organs,B,Antithrombotic Agents,B01,Antithrombotic Agents,B01A,Platelet Aggregation Inhibitors Excl. Heparin,B01AC
CLORAZEPATE DIPOTASSIUM,Clorazepate Dipotassium,Nervous System,N,Psycholeptics,N05,Anxiolytics,N05B,Benzodiazepine Derivatives,N05BA
CO-TYLENOL,Co-Tylenol,Nervous System,N,Analgesics,N02,Other Analgesics And Antipyretics,N02B,Anilides,N02BE
COD-LIVER OIL,Cod-Liver Oil,Alimentary Tract And Metabolism,A,Vitamins,A11,"Vitamin A And D, Incl. Combinations Of The Two",A11C,Vitamin A And D In Combination,A11CB
CODEINE,Codeine,Respiratory System,R,Cough And Cold Preparations,R05,Cough Suppressants Excl. Comb. With Expectorants,R05D,Opium Alkaloids And Derivatives,R05DA
CODEINE PHOSPHATE,Codeine Phosphate,Respiratory System,R,Cough And Cold Preparations,R05,Cough Suppressants Excl. Comb. With Expectorants,R05D,Opium Alkaloids And Derivatives,R05DA
COLECALCIFEROL,Colecalciferol,Alimentary Tract And Metabolism,A,Vitamins,A11,"Vitamin A And D, Incl. Combinations Of The Two",A11C,Vitamin D And Analogues,A11CC
COLONY STIMULATING FACTORS,Colony Stimulating Factors,Antineoplastic And Immunomodulating Agents,L,Immunostimulants,L03,Immunostimulants,L03A,Colony Stimulating Factors,L03AA
COMBICIN,Combicin,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,"Beta-Lactam Antibacterials, Penicillins",J01C,Penicillins With Extended Spectrum,J01CA
COMBIVENT,Combivent,Respiratory System,R,Drugs For Obstructive Airway Diseases,R03,"Adrenergics, Inhalants",R03A,Adrenergics And Oth.Drugs For Obstruct.Airway Dis.,R03AK
CORDALIN,Cordalin,Respiratory System,R,Drugs For Obstructive Airway Diseases,R03,Oth.Systemic Drugs For Obstructive Airway Diseases,R03D,Xanthines,R03DA
CORVALOL,Corvalol,Nervous System,N,Psycholeptics,N05,Hypnotics And Sedatives,N05C,"Barbiturates, Combinations",N05CB
COSOPT,Cosopt,Sensory Organs,S,Ophthalmologicals,S01,Antiglaucoma Preparations And Miotics,S01E,Beta Blocking Agents,S01ED
CRONOFERRIL,Cronoferril,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Iron Preparations,B03A,Iron In Other Combinations,B03AE
CYPROHEPTADINE,Cyproheptadine,Alimentary Tract And Metabolism,A,Appetite Stimulants,A15,,,cyproheptadine ,R06AX02
CYPROHEPTADINE HYDROCHLORIDE,Cyproheptadine Hydrochloride,Respiratory System,R,Antihistamines For Systemic Use,R06,Antihistamines For Systemic Use,R06A,Other Antihistamines For Systemic Use,R06AX
CYPROHEPTADINE PYRIDOXALPHOSPHATE,Cyproheptadine Pyridoxalphosphate,Alimentary Tract And Metabolism,A,Appetite Stimulants,A15,,,Other Antihistamines For Systemic Use,R06AX
DALTEPARIN SODIUM,Dalteparin Sodium,Blood And Blood Forming Organs,B,Antithrombotic Agents,B01,Antithrombotic Agents,B01A,Heparin Group,B01AB
DARBEPOETIN ALFA,Darbepoetin Alfa,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Other Antianemic Preparations,B03X,Other Antianemic Preparations,B03XA
DARIFENACIN,Darifenacin,Genito Urinary System And Sex Hormones,G,Urologicals,G04,"Other Urologicals, Incl. Antispasmodics",G04B,Urinary Antispasmodics,G04BD
DEANXIT,Deanxit,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Non-Selective Monoamine Reuptake Inhibitors,N06AA
DESLORATADINE,Desloratadine,Respiratory System,R,Antihistamines For Systemic Use,R06,Antihistamines For Systemic Use,R06A,Other Antihistamines For Systemic Use,R06AX
DEXAMETHASONE,Dexamethasone,Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,Corticosteroids For Local Oral Treatment,A01AC
DEXAMETHASONE SODIUM PHOSPHATE,Dexamethasone Sodium Phosphate,Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,Corticosteroids For Local Oral Treatment,A01AC
DEXCHLORPHENIRAMINE MALEATE,Dexchlorpheniramine Maleate,Respiratory System,R,Antihistamines For Systemic Use,R06,Antihistamines For Systemic Use,R06A,Substituted Alkylamines,R06AB
DEXKETOPROFEN TROMETAMOL,Dexketoprofen Trometamol,Musculo-Skeletal System,M,Antiinflammatory And Antirheumatic Products,M01,"Antiinflammatory/Antirheumatic Prod.,Non-Steroids",M01A,Propionic Acid Derivatives,M01AE
DEXPANTHENOL,Dexpanthenol,Alimentary Tract And Metabolism,A,Vitamins,A11,Other Plain Vitamin Preparations,A11H,Other Plain Vitamin Preparations,A11HA
DEXTROMETHORPHAN HYDROBROMIDE,Dextromethorphan Hydrobromide,Respiratory System,R,Cough And Cold Preparations,R05,Cough Suppressants Excl. Comb. With Expectorants,R05D,Opium Alkaloids And Derivatives,R05DA
DEXTROPROPOXYPHENE,Dextropropoxyphene,Nervous System,N,Analgesics,N02,Opioids,N02A,Diphenylpropylamine Derivatives,N02AC
DEXTROPROPOXYPHENE HYDROCHLORIDE,Dextropropoxyphene Hydrochloride,Nervous System,N,Analgesics,N02,Opioids,N02A,Diphenylpropylamine Derivatives,N02AC
DIAREN,Diaren,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Intestinal Antiinfectives,A07A,Other Intestinal Antiinfectives,A07AX
DIAZEPAM,Diazepam,Nervous System,N,Psycholeptics,N05,Anxiolytics,N05B,Benzodiazepine Derivatives,N05BA
DICHLOROACETIC ACID,Dichloroacetic Acid,Dermatologicals,D,Other Dermatological Preparations,D11,Other Dermatological Preparations,D11A,Wart And Anti-Corn Preparations,D11AF
DICLOFENAC,Diclofenac,Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,Other Agents For Local Oral Treatment,A01AD
DICLOFENAC POTASSIUM,Diclofenac Potassium,Musculo-Skeletal System,M,Antiinflammatory And Antirheumatic Products,M01,"Antiinflammatory/Antirheumatic Prod.,Non-Steroids",M01A,Acetic Acid Derivatives And Related Substances,M01AB
DICLOFENAC SODIUM,Diclofenac Sodium,Dermatologicals,D,Other Dermatological Preparations,D11,Other Dermatological Preparations,D11A,Other Dermatologicals,D11AX
DICYCLOVERINE HYDROCHLORIDE,Dicycloverine Hydrochloride,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Drugs For Functional Bowel Disorders,A03A,"Synt Anticholin,Esters With Tertiary Amino Group",A03AA
DIGOXIN,Digoxin,Cardiovascular System,C,Cardiac Therapy,C01,Cardiac Glycosides,C01A,Digitalis Glycosides,C01AA
DIHYDRALAZINE SULFATE,Dihydralazine Sulfate,Cardiovascular System,C,Antihypertensives,C02,"Arteriolar Smooth Muscle, Agents Acting On",C02D,Hydrazinophthalazine Derivatives,C02DB
DIHYDROCODEINE,Dihydrocodeine,Nervous System,N,Analgesics,N02,Opioids,N02A,Natural Opium Alkaloids,N02AA
DIHYDROCODEINE BITARTRATE,Dihydrocodeine Bitartrate,Nervous System,N,Analgesics,N02,Opioids,N02A,Natural Opium Alkaloids,N02AA
DILTIAZEM,Diltiazem,Cardiovascular System,C,Calcium Channel Blockers,C08,Selective Calc.Channel Block. W/Direct Cardiac Eff,C08D,Benzothiazepine Derivatives,C08DB
DILTIAZEM HYDROCHLORIDE,Diltiazem Hydrochloride,Cardiovascular System,C,Calcium Channel Blockers,C08,Selective Calc.Channel Block. W/Direct Cardiac Eff,C08D,Benzothiazepine Derivatives,C08DB
DIMENHYDRINATE,Dimenhydrinate,Nervous System,N,Other Nervous System Drugs,N07,Antivertigo Preparations,N07C,Antivertigo Preparations,N07CA
DIMETICONE,Dimeticone,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Drugs For Functional Bowel Disorders,A03A,Other Drugs For Functional Bowel Disorders,A03AX
DIOSMIN,Diosmin,Cardiovascular System,C,Vasoprotectives,C05,Capillary Stabilizing Agents,C05C,Bioflavonoids,C05CA
DIPHENHYDRAMINE,Diphenhydramine,Dermatologicals,D,"Antipruritics,Incl Antihist,Anesthet,Etc.",D04,"Antipruritics,Incl Antihist,Anesthet,Etc.",D04A,Antihistamines For Topical Use,D04AA
DIPHENHYDRAMINE HYDROCHLORIDE,Diphenhydramine Hydrochloride,Dermatologicals,D,"Antipruritics,Incl Antihist,Anesthet,Etc.",D04,"Antipruritics,Incl Antihist,Anesthet,Etc.",D04A,Antihistamines For Topical Use,D04AA
DIPHENOXYLATE HYDROCHLORIDE,Diphenoxylate Hydrochloride,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Antipropulsives,A07D,Antipropulsives,A07DA
DIPROPHYLLINE,Diprophylline,Respiratory System,R,Drugs For Obstructive Airway Diseases,R03,Oth.Systemic Drugs For Obstructive Airway Diseases,R03D,Xanthines,R03DA
DIPYRIDAMOLE,Dipyridamole,Blood And Blood Forming Organs,B,Antithrombotic Agents,B01,Antithrombotic Agents,B01A,Platelet Aggregation Inhibitors Excl. Heparin,B01AC
DISTIGMINE BROMIDE,Distigmine Bromide,Nervous System,N,Other Nervous System Drugs,N07,Parasympathomimetics,N07A,Anticholinesterases,N07AA
DIURETICS,Diuretics,Cardiovascular System,C,Diuretics,C03,,,DIURETICS,C03
DOCETAXEL,Docetaxel,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,Plant Alkaloids And Other Natural Products,L01C,Taxanes,L01CD
DOCUSATE CALCIUM,Docusate Calcium,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,"Softeners, Emollients",A06AA
DOCUSATE SODIUM,Docusate Sodium,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,"Softeners, Emollients",A06AA
DOLASETRON MESILATE,Dolasetron Mesilate,Alimentary Tract And Metabolism,A,Antiemetics And Antinauseants,A04,Antiemetics And Antinauseants,A04A,Serotonin (5Ht3) Antagonists,A04AA
DOLVIRAN NAPA,Dolviran Napa,Nervous System,N,Analgesics,N02,Opioids,N02A,Natural Opium Alkaloids,N02AA
DOMPERIDONE,Domperidone,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Propulsives,A03F,Propulsives,A03FA
DOXAZOSIN,Doxazosin,Cardiovascular System,C,Antihypertensives,C02,"Antiadrenergic Agents, Peripherally Acting",C02C,Alpha-Adrenoreceptor Antagonists,C02CA
DOXAZOSIN MESILATE,Doxazosin Mesilate,Cardiovascular System,C,Antihypertensives,C02,"Antiadrenergic Agents, Peripherally Acting",C02C,Alpha-Adrenoreceptor Antagonists,C02CA
DOXEPIN,Doxepin,Dermatologicals,D,"Antipruritics,Incl Antihist,Anesthet,Etc.",D04,"Antipruritics,Incl Antihist,Anesthet,Etc.",D04A,Antihistamines For Topical Use,D04AA
DOXYCYCLINE,Doxycycline,Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,Antiinfect. And Antisept. For Local Oral Treatment,A01AB
DRONABINOL,Dronabinol,Alimentary Tract And Metabolism,A,Antiemetics And Antinauseants,A04,Antiemetics And Antinauseants,A04A,Other Antiemetics,A04AD
DROTAVERINE,Drotaverine,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Drugs For Functional Bowel Disorders,A03A,Papaverine And Derivatives,A03AD
DROTAVERINE HYDROCHLORIDE,Drotaverine Hydrochloride,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Drugs For Functional Bowel Disorders,A03A,Papaverine And Derivatives,A03AD
DULOXETINE HYDROCHLORIDE,Duloxetine Hydrochloride,Genito Urinary System And Sex Hormones,G,Urologicals,G04,"Other Urologicals, Incl. Antispasmodics",G04B,Other Urologicals,G04BX
DUOVENT,Duovent,Respiratory System,R,Drugs For Obstructive Airway Diseases,R03,"Adrenergics, Inhalants",R03A,Adrenergics And Oth.Drugs For Obstruct.Airway Dis.,R03AK
DUTASTERIDE,Dutasteride,Genito Urinary System And Sex Hormones,G,Urologicals,G04,Drugs Used In Benign Prostatic Hypertrophy,G04C,Testosterone-5-Alpha Reductase Inhibitors,G04CB
DYAZIDE,Dyazide,Cardiovascular System,C,Diuretics,C03,Diuretics And Potassium-Sparing Agents In Comb,C03E,Low-Ceiling Diuretics And Potassium-Sparing Agents,C03EA
DYNAMAG,Dynamag,Alimentary Tract And Metabolism,A,Mineral Supplements,A12,Other Mineral Supplements,A12C,Magnesium,A12CC
EDUCTYL,Eductyl,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Osmotically Acting Laxatives,A06AD
ELECTROLYTE SOLUTIONS,Electrolyte Solutions,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solution Additives,B05X,Electrolyte Solutions,B05XA
EMLA,Emla,Dermatologicals,D,"Antipruritics,Incl Antihist,Anesthet,Etc.",D04,"Antipruritics,Incl Antihist,Anesthet,Etc.",D04A,Anesthetics For Topical Use,D04AB
ENALAPRIL,Enalapril,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Ace Inhibitors, Plain",C09A,"Ace Inhibitors, Plain",C09AA
ENALAPRIL MALEATE,Enalapril Maleate,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Ace Inhibitors, Plain",C09A,"Ace Inhibitors, Plain",C09AA
ENEMAS,Enemas,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Enemas,A06AG
ENOXAPARIN,Enoxaparin,Blood And Blood Forming Organs,B,Antithrombotic Agents,B01,Antithrombotic Agents,B01A,Heparin Group,B01AB
ENOXAPARIN SODIUM,Enoxaparin Sodium,Blood And Blood Forming Organs,B,Antithrombotic Agents,B01,Antithrombotic Agents,B01A,Heparin Group,B01AB
ENSURE,Ensure,Various,V,General Nutrients,V06,,,,V06
EPINEPHRINE BITARTRATE,Epinephrine Bitartrate,Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,Other Agents For Local Oral Treatment,A01AD
EPIRUBICIN,Epirubicin,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,Cytotoxic Antibiotics And Related Substances,L01D,Anthracyclines And Related Substances,L01DB
EPOETIN ALFA,Epoetin Alfa,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Other Antianemic Preparations,B03X,Other Antianemic Preparations,B03XA
EPOETIN BETA,Epoetin Beta,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Other Antianemic Preparations,B03X,Other Antianemic Preparations,B03XA
ERGOCALCIFEROL,Ergocalciferol,Alimentary Tract And Metabolism,A,Vitamins,A11,"Vitamin A And D, Incl. Combinations Of The Two",A11C,Vitamin D And Analogues,A11CC
ERLOTINIB,Erlotinib,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,Other Antineoplastic Agents,L01X,Protein Kinase Inhibitors,L01XE
ERYTHROMYCIN,Erythromycin,Dermatologicals,D,Antibiotics And Chemother. For Dermatological Use,D06,Antibiotics For Topical Use,D06A,Other Antibiotics For Topical Use,D06AX
ERYTHROPOIETIN,Erythropoietin,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Other Antianemic Preparations,B03X,Other Antianemic Preparations,B03XA
ESCITALOPRAM,Escitalopram,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Selective Serotonin Reuptake Inhibitors,N06AB
ESCITALOPRAM OXALATE,Escitalopram Oxalate,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Selective Serotonin Reuptake Inhibitors,N06AB
ESOMEPRAZOLE,Esomeprazole,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Drugs For Peptic Ulcer And Gord,A02B,Proton Pump Inhibitors,A02BC
ESOMEPRAZOLE MAGNESIUM,Esomeprazole Magnesium,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Drugs For Peptic Ulcer And Gord,A02B,Proton Pump Inhibitors,A02BC
ESSENTIALE,Essentiale,Alimentary Tract And Metabolism,A,Vitamins,A11,"Other Vitamin Products, Combinations",A11J,Combinations Of Vitamins,A11JA
ESTAZOLAM,Estazolam,Nervous System,N,Psycholeptics,N05,Hypnotics And Sedatives,N05C,Benzodiazepine Derivatives,N05CD
ESTRADIOL,Estradiol,Dermatologicals,D,Other Dermatological Preparations,D11,Other Dermatological Preparations,D11A,Other Dermatologicals,D11AX
ESTROGENS CONJUGATED,Estrogens Conjugated,Genito Urinary System And Sex Hormones,G,Sex Hormones And Modulators Of The Genital System,G03,Estrogens,G03C,"Natural And Semisynthetic Estrogens, Plain",G03CA
ESZOPICLONE,Eszopiclone,Nervous System,N,Psycholeptics,N05,Hypnotics And Sedatives,N05C,Benzodiazepine Related Drugs,N05CF
ETAMSILATE,Etamsilate,Blood And Blood Forming Organs,B,Antihemorrhagics,B02,Vitamin K And Other Hemostatics,B02B,Other Systemic Hemostatics,B02BX
ETILEFRINE HYDROCHLORIDE,Etilefrine Hydrochloride,Cardiovascular System,C,Cardiac Therapy,C01,Cardiac Stimulants Excl. Cardiac Glycosides,C01C,Adrenergic And Dopaminergic Agents,C01CA
ETOMIDATE,Etomidate,Nervous System,N,Anesthetics,N01,"Anesthetics, General",N01A,Other General Anesthetics,N01AX
ETORICOXIB,Etoricoxib,Musculo-Skeletal System,M,Antiinflammatory And Antirheumatic Products,M01,"Antiinflammatory/Antirheumatic Prod.,Non-Steroids",M01A,Coxibs,M01AH
EXTENDRYL,Extendryl,Respiratory System,R,Nasal Preparations,R01,Nasal Decongestants For Systemic Use,R01B,Sympathomimetics,R01BA
FAKTU,Faktu,Cardiovascular System,C,Vasoprotectives,C05,Ag.For Treatm.Of Hemorrh.And Anal Fiss.For Top.Use,C05A,Local Anesthetics,C05AD
FAMOTIDINE,Famotidine,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Drugs For Peptic Ulcer And Gord,A02B,H2-Receptor Antagonists,A02BA
FAT EMULSIONS,Fat Emulsions,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solutions,B05B,Solutions For Parenteral Nutrition,B05BA
FELODIPINE,Felodipine,Cardiovascular System,C,Calcium Channel Blockers,C08,Selective Calc.Channel Block. W/Mainly Vasc. Eff.,C08C,Dihydropyridine Derivatives,C08CA
FEMODENE,Femodene,Genito Urinary System And Sex Hormones,G,Sex Hormones And Modulators Of The Genital System,G03,Hormonal Contraceptives For Systemic Use,G03A,"Progestogens And Estrogens, Fixed Combinations",G03AA
FENOFIBRATE,Fenofibrate,Cardiovascular System,C,Lipid Modifying Agents,C10,"Lipid Modifying Agents, Plain",C10A,Fibrates,C10AB
FENTANYL,Fentanyl,Nervous System,N,Anesthetics,N01,"Anesthetics, General",N01A,Opioid Anesthetics,N01AH
FENTANYL CITRATE,Fentanyl Citrate,Nervous System,N,Anesthetics,N01,"Anesthetics, General",N01A,Opioid Anesthetics,N01AH
FERRIC SODIUM GLUCONATE COMPLEX,Ferric Sodium Gluconate Complex,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Iron Preparations,B03A,"Iron Trivalent, Parenteral Preparations",B03AC
FERRO-FOLGAMMA,Ferro-Folgamma,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Iron Preparations,B03A,Iron In Other Combinations,B03AE
FERROUS SULFATE,Ferrous Sulfate,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Iron Preparations,B03A,"Iron Bivalent, Oral Preparations",B03AA
FERROUS SULFATE EXSICCATED,Ferrous Sulfate Exsiccated,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Iron Preparations,B03A,"Iron Bivalent, Oral Preparations",B03AA
FEXOFENADINE HYDROCHLORIDE,Fexofenadine Hydrochloride,Respiratory System,R,Antihistamines For Systemic Use,R06,Antihistamines For Systemic Use,R06A,Other Antihistamines For Systemic Use,R06AX
FILGRASTIM,Filgrastim,Antineoplastic And Immunomodulating Agents,L,Immunostimulants,L03,Immunostimulants,L03A,Colony Stimulating Factors,L03AA
FINASTERIDE,Finasteride,Dermatologicals,D,Other Dermatological Preparations,D11,Other Dermatological Preparations,D11A,Other Dermatologicals,D11AX
FISH OIL,Fish Oil,Cardiovascular System,C,Lipid Modifying Agents,C10,"Lipid Modifying Agents, Plain",C10A,Other Lipid Modifying Agents,C10AX
FLEBOBAG RING LACT,Flebobag Ring Lact,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solutions,B05B,Solutions Affecting The Electrolyte Balance,B05BB
FLUCONAZOLE,Fluconazole,Dermatologicals,D,Antifungals For Dermatological Use,D01,Antifungals For Topical Use,D01A,Imidazole And Triazole Derivatives,D01AC
FLUNISOLIDE,Flunisolide,Respiratory System,R,Nasal Preparations,R01,Decongestants And Other Nasal Prep.For Topical Use,R01A,Corticosteroids,R01AD
FLUOCINOLONE ACETONIDE,Fluocinolone Acetonide,Cardiovascular System,C,Vasoprotectives,C05,Ag.For Treatm.Of Hemorrh.And Anal Fiss.For Top.Use,C05A,Corticosteroids,C05AA
FLUOROURACIL,Fluorouracil,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,Antimetabolites,L01B,Pyrimidine Analogues,L01BC
FLUOROURACIL SODIUM,Fluorouracil Sodium,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,Antimetabolites,L01B,Pyrimidine Analogues,L01BC
FLUOXETINE,Fluoxetine,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Selective Serotonin Reuptake Inhibitors,N06AB
FLUOXETINE HYDROCHLORIDE,Fluoxetine Hydrochloride,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Selective Serotonin Reuptake Inhibitors,N06AB
FLUPIRTINE MALEATE,Flupirtine Maleate,Nervous System,N,Analgesics,N02,Other Analgesics And Antipyretics,N02B,Other Analgesics And Antipyretics,N02BG
FLUTICASONE PROPIONATE,Fluticasone Propionate,Dermatologicals,D,"Corticosteroids, Dermatological Preparations",D07,"Corticosteroids, Plain",D07A,"Corticosteroids, Potent (Group Iii)",D07AC
FOLIC ACID,Folic Acid,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Vitamin B12 And Folic Acid,B03B,Folic Acid And Derivatives,B03BB
FOLINIC ACID,Folinic Acid,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Vitamin B12 And Folic Acid,B03B,Folic Acid And Derivatives,B03BB
FONDAPARINUX SODIUM,Fondaparinux Sodium,Blood And Blood Forming Organs,B,Antithrombotic Agents,B01,Antithrombotic Agents,B01A,Other Antithrombotic Agents,B01AX
FORMOTEROL,Formoterol,Respiratory System,R,Drugs For Obstructive Airway Diseases,R03,"Adrenergics, Inhalants",R03A,Selective Beta-2-Adrenoreceptor Agonists,R03AC
FORTRANS,Fortrans,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Osmotically Acting Laxatives,A06AD
FOSFOMYCIN TROMETAMOL,Fosfomycin Trometamol,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Other Antibacterials,J01X,Other Antibacterials,J01XX
FUROSEMIDE,Furosemide,Cardiovascular System,C,Diuretics,C03,High-Ceiling Diuretics,C03C,"Sulfonamides, Plain",C03CA
GABAPENTIN,Gabapentin,Nervous System,N,Analgesics,N02,Other Analgesics And Antipyretics,N02B,Other Analgesics And Antipyretics,N02BG
GALENIC /BISOPROLOL/HYDROCHLOROTHIAZIDE/,Galenic /Bisoprolol/Hydrochlorothiazide/,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents And Thiazides,C07B,"Beta Blocking Agents, Selective, And Thiazides",C07BB
GALENIC /POTASSIUM CHLORIDE/GLUCOSE/,Galenic /Potassium Chloride/Glucose/,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solutions,B05B,Solutions Affecting The Electrolyte Balance,B05BB
GAVISCON,Gaviscon,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Drugs For Peptic Ulcer And Gord,A02B,Other Drugs For Peptic Ulcer And Gord,A02BX
GELOPLASMA,Geloplasma,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solutions,B05B,Solutions For Parenteral Nutrition,B05BA
GEMCITABINE,Gemcitabine,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,Antimetabolites,L01B,Pyrimidine Analogues,L01BC
GEMCITABINE HYDROCHLORIDE,Gemcitabine Hydrochloride,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,Antimetabolites,L01B,Pyrimidine Analogues,L01BC
GEMFIBROZIL,Gemfibrozil,Cardiovascular System,C,Lipid Modifying Agents,C10,"Lipid Modifying Agents, Plain",C10A,Fibrates,C10AB
GENERAL NUTRIENTS,General Nutrients,Various,V,General Nutrients,V06,,,,V06
GENTAMICIN,Gentamicin,Dermatologicals,D,Antibiotics And Chemother. For Dermatological Use,D06,Antibiotics For Topical Use,D06A,Other Antibiotics For Topical Use,D06AX
GERITOL,Geritol,Alimentary Tract And Metabolism,A,Vitamins,A11,"Multivitamins, Plain",A11B,"Multivitamins, Plain",A11BA
GINKGO BILOBA,Ginkgo Biloba,Various,V,Unspecified Herbal,V90,,,,V90
GIVALEX,Givalex,Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,Antiinfect. And Antisept. For Local Oral Treatment,A01AB
GLIBENCLAMIDE,Glibenclamide,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,"Blood Glucose Lowering Drugs, Excl. Insulins",A10B,"Sulfonamides, Urea Derivatives",A10BB
GLIBOMET,Glibomet,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,"Blood Glucose Lowering Drugs, Excl. Insulins",A10B,Combinations Of Oral Blood Glucose Lowering Drugs,A10BD
GLICLAZIDE,Gliclazide,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,"Blood Glucose Lowering Drugs, Excl. Insulins",A10B,"Sulfonamides, Urea Derivatives",A10BB
GLIMEPIRIDE,Glimepiride,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,"Blood Glucose Lowering Drugs, Excl. Insulins",A10B,"Sulfonamides, Urea Derivatives",A10BB
GLIPIZIDE,Glipizide,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,"Blood Glucose Lowering Drugs, Excl. Insulins",A10B,"Sulfonamides, Urea Derivatives",A10BB
GLIQUIDONE,Gliquidone,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,"Blood Glucose Lowering Drugs, Excl. Insulins",A10B,"Sulfonamides, Urea Derivatives",A10BB
GLUCAGON,Glucagon,"Systemic Hormonal Prep.,Excl.Sex Horm.And Insulin",H,Pancreatic Hormones,H04,Glycogenolytic Hormones,H04A,Glycogenolytic Hormones,H04AA
