Lowest Level Term,Lowest Level Term Code,Preferred Term,Preferred Term Code,High Level Term,High Level Term Code,High Level Group Term,High Level Group Term Code,Body System Or Organ Class,Boody System Or Organ Class Code,AESOC,AESOCCD,sourcedataset,sourcevariable,sourcevalue,sourcetype
Steatorrhea,10041968,Steatorrhoea,10041969,Malabsorption syndromes,10025480,Malabsorption conditions,10025477,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Steatorrhea,character
Inflammation of mouth,10049325,Stomatitis,10042128,Stomatitis and ulceration,10042129,Oral soft tissue conditions,10031013,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Stomatitis,character
Mucositis oral,10028130,Stomatitis,10042128,Stomatitis and ulceration,10042129,Oral soft tissue conditions,10031013,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Mucositis oral,character
Thrombosis mesenteric vessel,10043626,Thrombosis mesenteric vessel,10043626,Gastrointestinal vascular occlusion and infarction,10017997,Gastrointestinal vascular conditions,10018031,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Thrombosis mesenteric vessel,character
Loss of teeth,10024879,Tooth loss,10044044,Tooth missing,10044048,Dental and gingival conditions,10044018,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Tooth loss,character
Upper gastrointestinal hemorrhage,10055356,Upper gastrointestinal haemorrhage,10046274,Non-site specific gastrointestinal haemorrhages,10017958,Gastrointestinal haemorrhages NEC,10017959,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Upper gastrointestinal hemorrhage,character
Vomiting NOS,10047706,Vomiting,10047700,Nausea and vomiting symptoms,10028817,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Vomiting,character
Emesis,10014542,Vomiting,10047700,Nausea and vomiting symptoms,10028817,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Emesis,character
Gastrointestinal obstruction NOS,10017996,Gastrointestinal obstruction,10061974,Gastrointestinal obstruction,10061974,Gastrointestinal stenosis and obstruction NEC,10018009,Gastrointestinal stenosis and obstruction,10018008,Gastrointestinal disorders,10017947,ae,AELLT,Gastrointestinal obstruction,character
Weakness,10047862,Asthenia,10003549,Asthenic conditions,10003550,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Weakness,character
Adynamia,10001425,Asthenia,10003549,Asthenic conditions,10003550,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Adynamia,character
Strength loss of,10042174,Asthenia,10003549,Asthenic conditions,10003550,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Strength loss of,character
Weakness generalized,10047865,Asthenia,10003549,Asthenic conditions,10003550,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Weakness generalised,character
Unknown cause of death,10063378,Death,10011906,Death and sudden death,10011907,Fatal outcomes,10053172,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Unknown cause of death,character
Disease progression NOS,10049830,Disease progression,10061818,General signs and symptoms NEC,10018072,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Disease progression,character
Drug intolerance NOS,10048697,Drug intolerance,10061822,Therapeutic and nontherapeutic responses,10043409,Therapeutic and nontherapeutic effects (excl toxicity),10062915,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Drug intolerance,character
Fatiguability generalised,10073917,Fatigue,10016256,Asthenic conditions,10003550,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Fatigue,character
Fatigue aggravated,10048415,Fatigue,10016256,Asthenic conditions,10003550,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Fatigue aggravated,character
Tiredness,10043890,Fatigue,10016256,Asthenic conditions,10003550,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Tiredness,character
Sweating,10042661,Hyperhidrosis,10020642,General signs and symptoms NEC,10018072,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Sweating,character
Induration,10060708,Induration,10060708,General signs and symptoms NEC,10018072,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Induration,character
Flu-like symptoms,10016791,Influenza like illness,10022004,General signs and symptoms NEC,10018072,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Flu-like symptoms,character
Flu-like illness,10016796,Influenza like illness,10022004,General signs and symptoms NEC,10018072,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Flu-like illness,character
Infusion associated symptoms,10051789,Infusion related reaction,10051792,General signs and symptoms NEC,10018072,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Infusion related reaction,character
Neck swelling,10049568,Swelling,10042674,General signs and symptoms NEC,10018072,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Neck swelling,character
Dental prosthesis pain,10078232,Medical device pain,10059057,Complications associated with device NEC,10069785,Complications associated with device,10069781,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Medical device pain,character
Night sweat,10029409,Night sweats,10029410,General signs and symptoms NEC,10018072,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Night sweats,character
Swelling of feet,10042693,Peripheral swelling,10048959,General signs and symptoms NEC,10018072,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Swelling of feet,character
Swelling of hands,10042695,Peripheral swelling,10048959,General signs and symptoms NEC,10018072,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Swelling of hands,character
Swelling of legs,10042700,Peripheral swelling,10048959,General signs and symptoms NEC,10018072,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Swelling of legs,character
Swelling of limb,10042701,Peripheral swelling,10048959,General signs and symptoms NEC,10018072,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Swelling of limb,character
Pain NOS,10033470,Pain,10033371,Pain and discomfort NEC,10033372,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Pain,character
General body pain,10048971,Pain,10033371,Pain and discomfort NEC,10033372,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,General body pain,character
Pain burning,10033386,Pain,10033371,Pain and discomfort NEC,10033372,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Pain burning,character
Pain localised,10050483,Pain,10033371,Pain and discomfort NEC,10033372,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Pain localised,character
Fever,10016558,Pyrexia,10037660,Febrile disorders,10016286,Body temperature conditions,10005908,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Fever,character
Febricula,10065377,Pyrexia,10037660,Febrile disorders,10016286,Body temperature conditions,10005908,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Febricula,character
Fever chills,10016559,Pyrexia,10037660,Febrile disorders,10016286,Body temperature conditions,10005908,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Fever chills,character
Fever of unknown origin,10016563,Pyrexia,10037660,Febrile disorders,10016286,Body temperature conditions,10005908,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Fever of unknown origin,character
Intermittent fever,10058698,Pyrexia,10037660,Febrile disorders,10016286,Body temperature conditions,10005908,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Intermittent fever,character
Pyrexia NOS,10037663,Pyrexia,10037660,Febrile disorders,10016286,Body temperature conditions,10005908,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Pyrexia,character
Ascites chylous,10003446,Ascites,10003445,Hepatobiliary signs and symptoms,10019709,Hepatic and hepatobiliary disorders,10019654,Hepatobiliary disorders,10019805,Hepatobiliary disorders,10019805,ae,AELLT,Ascites,character
Bile duct obstruction NOS,10004620,Bile duct obstruction,10056375,Obstructive bile duct disorders (excl neoplasms),10029976,Bile duct disorders,10004606,Hepatobiliary disorders,10019805,Hepatobiliary disorders,10019805,ae,AELLT,Bile duct obstruction,character
Bile duct stricture,10004640,Bile duct stenosis,10051341,Obstructive bile duct disorders (excl neoplasms),10029976,Bile duct disorders,10004606,Hepatobiliary disorders,10019805,Hepatobiliary disorders,10019805,ae,AELLT,Bile duct stricture,character
Biliary tract infection,10061695,Biliary sepsis,10057847,Bile duct infections and inflammations,10004607,Bile duct disorders,10004606,Hepatobiliary disorders,10019805,Hepatobiliary disorders,10019805,ae,AELLT,Biliary sepsis,character
Cholangitis NOS,10008608,Cholangitis,10008604,Bile duct infections and inflammations,10004607,Bile duct disorders,10004606,Hepatobiliary disorders,10019805,Hepatobiliary disorders,10019805,ae,AELLT,Cholangitis,character
Cholangitis acute NOS,10008606,Cholangitis acute,10008605,Bile duct infections and inflammations,10004607,Bile duct disorders,10004606,Hepatobiliary disorders,10019805,Hepatobiliary disorders,10019805,ae,AELLT,Cholangitis acute,character
Calculus gallbladder,10006990,Cholelithiasis,10008629,Cholecystitis and cholelithiasis,10008616,Gallbladder disorders,10017628,Hepatobiliary disorders,10019805,Hepatobiliary disorders,10019805,ae,AELLT,Cholelithiasis,character
Failure liver,10016152,Hepatic failure,10019663,Hepatic failure and associated disorders,10019664,Hepatic and hepatobiliary disorders,10019654,Hepatobiliary disorders,10019805,Hepatobiliary disorders,10019805,ae,AELLT,Hepatic failure,character
Liver failure,10024678,Hepatic failure,10019663,Hepatic failure and associated disorders,10019664,Hepatic and hepatobiliary disorders,10019654,Hepatobiliary disorders,10019805,Hepatobiliary disorders,10019805,ae,AELLT,Liver failure,character
Hepatitis acute toxic,10052553,Hepatitis toxic,10019795,Hepatocellular damage and hepatitis NEC,10019833,Hepatic and hepatobiliary disorders,10019654,Hepatobiliary disorders,10019805,Hepatobiliary disorders,10019805,ae,AELLT,Hepatitis toxic,character
Obstructive jaundice,10029982,Jaundice cholestatic,10023129,Cholestasis and jaundice,10008636,Hepatic and hepatobiliary disorders,10019654,Hepatobiliary disorders,10019805,Hepatobiliary disorders,10019805,ae,AELLT,Obstructive jaundice,character
Cholestatic jaundice,10008640,Jaundice cholestatic,10023129,Cholestasis and jaundice,10008636,Hepatic and hepatobiliary disorders,10019654,Hepatobiliary disorders,10019805,Hepatobiliary disorders,10019805,ae,AELLT,Cholestatic jaundice,character
Disorder liver,10013234,Liver disorder,10024670,Hepatic and hepatobiliary disorders NEC,10027681,Hepatic and hepatobiliary disorders,10019654,Hepatobiliary disorders,10019805,Hepatobiliary disorders,10019805,ae,AELLT,Liver disorder,character
Allergic skin reaction,10001729,Dermatitis allergic,10012434,Allergic conditions NEC,10027654,Allergic conditions,10001708,Immune system disorders,10021428,Immune system disorders,10021428,ae,AELLT,Allergic skin reaction,character
Allergic reaction to antibiotics,10001720,Drug hypersensitivity,10013700,"Allergies to foods, food additives, drugs and other chemicals",10001737,Allergic conditions,10001708,Immune system disorders,10021428,Immune system disorders,10021428,ae,AELLT,Allergic reaction to antibiotics,character
Specific allergy (drug),10041423,Drug hypersensitivity,10013700,"Allergies to foods, food additives, drugs and other chemicals",10001737,Allergic conditions,10001708,Immune system disorders,10021428,Immune system disorders,10021428,ae,AELLT,Specific allergy (drug),character
Edema face,10014222,Face oedema,10016029,Angioedemas,10002425,Allergic conditions,10001708,Immune system disorders,10021428,Immune system disorders,10021428,ae,AELLT,Face edema,character
Allergic reaction,10001718,Hypersensitivity,10020751,Allergic conditions NEC,10027654,Allergic conditions,10001708,Immune system disorders,10021428,Immune system disorders,10021428,ae,AELLT,Allergic reaction,character
Interstitial pneumonia,10022617,Interstitial lung disease,10022611,Immune and associated conditions NEC,10027682,Immune disorders NEC,10027665,Immune system disorders,10021428,Immune system disorders,10021428,ae,AELLT,Interstitial pneumonia,character
Interstitial pneumonitis,10022618,Interstitial lung disease,10022611,Immune and associated conditions NEC,10027682,Immune disorders NEC,10027665,Immune system disorders,10021428,Immune system disorders,10021428,ae,AELLT,Interstitial pneumonitis,character
Drug-induced pruritus,10049981,Pruritus allergic,10063438,Allergic conditions NEC,10027654,Allergic conditions,10001708,Immune system disorders,10021428,Immune system disorders,10021428,ae,AELLT,Pruritus allergic,character
Facial puffiness,10016063,Swelling face,10042682,Angioedemas,10002425,Allergic conditions,10001708,Immune system disorders,10021428,Immune system disorders,10021428,ae,AELLT,Facial puffiness,character
"Bacteraemia, unspecified",10003998,Bacteraemia,10003997,"Sepsis, bacteraemia, viraemia and fungaemia NEC",10040054,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Bacteraemia,character
Bronchial infection,10055078,Bronchitis,10006451,Lower respiratory tract and lung infections,10025101,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Bronchitis,character
Bronchopneumonia,10006469,Pneumonia,10035664,Lower respiratory tract and lung infections,10025101,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Bronchopneumonia,character
Thrush,10043649,Candida infection,10074170,Candida infections,10007134,Fungal infectious disorders,10017528,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Thrush,character
Cellulitis aggravated,10048395,Cellulitis,10007882,Bacterial infections NEC,10004047,Bacterial infectious disorders,10004018,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Cellulitis,character
Phlegmon,10034907,Cellulitis,10007882,Bacterial infections NEC,10004047,Bacterial infectious disorders,10004018,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Phlegmon,character
Central line infection,10054192,Device related infection,10064687,Infections NEC,10021902,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Central line infection,character
Gangrenous cholecystitis,10063158,Cholecystitis infective,10062631,Hepatobiliary and spleen infections,10064462,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Gangrenous cholecystitis,character
C.difficile colitis,10006833,Clostridium difficile colitis,10009657,Clostridia infections,10009653,Bacterial infectious disorders,10004018,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,C.difficile colitis,character
Ear infection fungal,10068630,Ear infection fungal,10068630,Fungal infections NEC,10017536,Fungal infectious disorders,10017528,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Ear infection fungal,character
Escherichia coli bacteremia,10054279,Escherichia bacteraemia,10054258,Escherichia infections,10015295,Bacterial infectious disorders,10004018,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Escherichia coli bacteremia,character
Septicemia due to Escherichia coli (E. coli),10040091,Escherichia sepsis,10015296,Escherichia infections,10015295,Bacterial infectious disorders,10004018,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Septicemia due to Escherichia coli (E. coli),character
Septicemia escherichia,10054708,Escherichia sepsis,10015296,Escherichia infections,10015295,Bacterial infectious disorders,10004018,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Septicemia escherichia,character
Pustular folliculitis,10048635,Folliculitis,10016936,Skin structures and soft tissue infections,10040786,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Folliculitis,character
Fungal esophagitis,10058534,Fungal oesophagitis,10049656,Fungal infections NEC,10017536,Fungal infectious disorders,10017528,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Fungal oesophagitis,character
Infection NOS,10021842,Infection,10021789,Infections NEC,10021902,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Infection,character
Klebsiella septicaemia,10054168,Klebsiella sepsis,10054160,Klebsiella infections,10023455,Bacterial infectious disorders,10004018,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Klebsiella sepsis,character
Lung infection NOS,10048847,Lung infection,10061229,Lower respiratory tract and lung infections,10025101,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Lung infection,character
Fever blister,10049362,Oral herpes,10067152,Herpes viral infections,10019972,Viral infectious disorders,10047438,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Fever blister,character
Herpes labialis,10019942,Oral herpes,10067152,Herpes viral infections,10019972,Viral infectious disorders,10047438,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Herpes labialis,character
Pneumonia NOS,10035725,Pneumonia,10035664,Lower respiratory tract and lung infections,10025101,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Pneumonia,character
Bilateral pneumonia,10058686,Pneumonia,10035664,Lower respiratory tract and lung infections,10025101,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Bilateral pneumonia,character
Respiratory tract infection viral NOS,10049410,Respiratory tract infection viral,10062106,Viral infections NEC,10047465,Viral infectious disorders,10047438,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Respiratory tract infection viral,character
Septicemia,10040089,Sepsis,10040047,"Sepsis, bacteraemia, viraemia and fungaemia NEC",10040054,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Septicemia,character
Sepsis NOS,10040050,Sepsis,10040047,"Sepsis, bacteraemia, viraemia and fungaemia NEC",10040054,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Sepsis,character
Stent related infection,10067267,Device related infection,10064687,Infections NEC,10021902,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Stent related infection,character
Urosepsis,10048709,Urosepsis,10048709,"Sepsis, bacteraemia, viraemia and fungaemia NEC",10040054,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Urosepsis,character
Contusion of unspecified site,10010881,Contusion,10050584,Skin injuries NEC,10027699,Injuries NEC,10022114,"Injury, poisoning and procedural complications",10022117,"Injury, poisoning and procedural complications",10022117,ae,AELLT,Contusion,character
Falling,10016177,Fall,10016173,Non-site specific injuries NEC,10029511,Injuries NEC,10022114,"Injury, poisoning and procedural complications",10022117,"Injury, poisoning and procedural complications",10022117,ae,AELLT,Fall,character
Skull trauma,10078809,Head injury,10019196,Site specific injuries NEC,10040759,Injuries NEC,10022114,"Injury, poisoning and procedural complications",10022117,"Injury, poisoning and procedural complications",10022117,ae,AELLT,Head injury,character
Injection site cellulitis,10050057,Injection site cellulitis,10050057,Injection site reactions,10022097,Administration site reactions,10001316,"Injury, poisoning and procedural complications",10022117,"Injury, poisoning and procedural complications",10022117,ae,AELLT,Injection site cellulitis,character
Injection site reaction NOS,10022096,Injection site reaction,10022095,Injection site reactions,10022097,Administration site reactions,10001316,"Injury, poisoning and procedural complications",10022117,"Injury, poisoning and procedural complications",10022117,ae,AELLT,Injection site reaction,character
Injury to shoulder NOS,10022336,Limb injury,10061225,Site specific injuries NEC,10040759,Injuries NEC,10022114,"Injury, poisoning and procedural complications",10022117,"Injury, poisoning and procedural complications",10022117,ae,AELLT,Injury to shoulder NOS,character
Ankle sprain,10002549,Ligament sprain,10024453,"Muscle, tendon and ligament injuries",10028288,Injuries NEC,10022114,"Injury, poisoning and procedural complications",10022117,"Injury, poisoning and procedural complications",10022117,ae,AELLT,Ankle sprain,character
Foot injury,10051021,Limb injury,10061225,Site specific injuries NEC,10040759,Injuries NEC,10022114,"Injury, poisoning and procedural complications",10022117,"Injury, poisoning and procedural complications",10022117,ae,AELLT,Foot injury,character
Drug overdose,10068719,Overdose,10033295,Overdoses NEC,10076292,Overdoses and underdoses NEC,10079159,"Injury, poisoning and procedural complications",10022117,"Injury, poisoning and procedural complications",10022117,ae,AELLT,Drug overdose,character
Skin injury NOS,10040878,Skin injury,10061364,Skin injuries NEC,10027699,Injuries NEC,10022114,"Injury, poisoning and procedural complications",10022117,"Injury, poisoning and procedural complications",10022117,ae,AELLT,Skin injury,character
Tendinitis,10043232,Tendonitis,10043255,"Muscle, tendon and ligament injuries",10028288,Injuries NEC,10022114,"Injury, poisoning and procedural complications",10022117,"Injury, poisoning and procedural complications",10022117,ae,AELLT,Tendonitis,character
Wound surface unfolded,10048040,Wound dehiscence,10048031,Non-site specific procedural complications,10029559,Procedural related injuries and complications NEC,10069888,"Injury, poisoning and procedural complications",10022117,"Injury, poisoning and procedural complications",10022117,ae,AELLT,Wound dehiscence,character
ALT increased,10001845,Alanine aminotransferase increased,10001551,Liver function analyses,10024689,Hepatobiliary investigations,10019809,Investigations,10022891,Investigations,10022891,ae,AELLT,ALT increased,character
AST increased,10003544,Aspartate aminotransferase increased,10003481,Liver function analyses,10024689,Hepatobiliary investigations,10019809,Investigations,10022891,Investigations,10022891,ae,AELLT,AST increased,character
Alkaline phosphatase increased,10001675,Blood alkaline phosphatase increased,10059570,Tissue enzyme analyses NEC,10043891,Enzyme investigations NEC,10014938,Investigations,10022891,Investigations,10022891,ae,AELLT,Alkaline phosphatase increased,character
ALP increased,10001771,Blood alkaline phosphatase increased,10059570,Tissue enzyme analyses NEC,10043891,Enzyme investigations NEC,10014938,Investigations,10022891,Investigations,10022891,ae,AELLT,ALP increased,character
Phosphatase alkaline increased,10034927,Blood alkaline phosphatase increased,10059570,Tissue enzyme analyses NEC,10043891,Enzyme investigations NEC,10014938,Investigations,10022891,Investigations,10022891,ae,AELLT,Phosphatase alkaline increased,character
Bilirubin,10004683,Blood bilirubin,10005362,Liver function analyses,10024689,Hepatobiliary investigations,10019809,Investigations,10022891,Investigations,10022891,ae,AELLT,Bilirubin,character
Bilirubin elevated,10004688,Blood bilirubin increased,10005364,Liver function analyses,10024689,Hepatobiliary investigations,10019809,Investigations,10022891,Investigations,10022891,ae,AELLT,Bilirubin elevated,character
Blood sugar level fluctuation,10049818,Blood glucose fluctuation,10049803,Carbohydrate tolerance analyses (incl diabetes),10007217,"Metabolic, nutritional and blood gas investigations",10027432,Investigations,10022891,Investigations,10022891,ae,AELLT,Blood glucose fluctuation,character
Prolactin abnormal NOS,10036823,Blood prolactin abnormal,10005778,Pituitary analyses anterior,10035089,Endocrine investigations (incl sex hormones),10014706,Investigations,10022891,Investigations,10022891,ae,AELLT,Prolactin abnormal NOS,character
GGT increased,10056910,Gamma-glutamyltransferase increased,10017693,Liver function analyses,10024689,Hepatobiliary investigations,10019809,Investigations,10022891,Investigations,10022891,ae,AELLT,GGT increased,character
Glucose urine increased,10018441,Glucose urine present,10018478,Urinalysis NEC,10046512,Renal and urinary tract investigations and urinalyses,10038362,Investigations,10022891,Investigations,10022891,ae,AELLT,Glucose urine increased,character
Hepatic enzymes increased,10019662,Hepatic enzyme increased,10060795,Liver function analyses,10024689,Hepatobiliary investigations,10019809,Investigations,10022891,Investigations,10022891,ae,AELLT,Hepatic enzymes increased,character
Elevated liver enzymes,10014481,Hepatic enzyme increased,10060795,Liver function analyses,10024689,Hepatobiliary investigations,10019809,Investigations,10022891,Investigations,10022891,ae,AELLT,Elevated liver enzymes,character
INR increased,10022402,International normalised ratio increased,10022595,Coagulation and bleeding analyses,10009728,Haematology investigations (incl blood groups),10018851,Investigations,10022891,Investigations,10022891,ae,AELLT,INR increased,character
Absolute neutrophil count,10052033,Neutrophil count,10029363,White blood cell analyses,10047938,Haematology investigations (incl blood groups),10018851,Investigations,10022891,Investigations,10022891,ae,AELLT,Neutrophils,character
Fecal occult blood positive,10016299,Occult blood positive,10061880,Faecal analyses NEC,10065878,Gastrointestinal investigations,10017971,Investigations,10022891,Investigations,10022891,ae,AELLT,Fecal occult blood positive,character
Transaminase NOS increased,10044346,Transaminases increased,10054889,Liver function analyses,10024689,Hepatobiliary investigations,10019809,Investigations,10022891,Investigations,10022891,ae,AELLT,Transaminases increased,character
Weight loss,10047900,Weight decreased,10047895,Physical examination procedures and organ system status,10071941,Physical examination and organ system status topics,10071940,Investigations,10022891,Investigations,10022891,ae,AELLT,Weight loss,character
Loss of weight,10024883,Weight decreased,10047895,Physical examination procedures and organ system status,10071941,Physical examination and organ system status topics,10071940,Investigations,10022891,Investigations,10022891,ae,AELLT,Loss of weight,character
Lost weight,10024886,Weight decreased,10047895,Physical examination procedures and organ system status,10071941,Physical examination and organ system status topics,10071940,Investigations,10022891,Investigations,10022891,ae,AELLT,Lost weight,character
Appetite lost,10003028,Decreased appetite,10061428,Appetite disorders,10003022,Appetite and general nutritional disorders,10003018,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Appetite lost,character
Anorexia,10002646,Decreased appetite,10061428,Appetite disorders,10003022,Appetite and general nutritional disorders,10003018,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Anorexia,character
Appetite decreased NOS,10003020,Decreased appetite,10061428,Appetite disorders,10003022,Appetite and general nutritional disorders,10003018,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Decreased appetite,character
Hyporexia,10067342,Decreased appetite,10061428,Appetite disorders,10003022,Appetite and general nutritional disorders,10003018,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Hyporexia,character
Water excessive loss of,10047836,Dehydration,10012174,Total fluid volume decreased,10044084,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Dehydration,character
Exsiccosis,10054198,Dehydration,10012174,Total fluid volume decreased,10044084,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Exsiccosis,character
Diabetes mellitus NOS,10012614,Diabetes mellitus,10012601,Diabetes mellitus (incl subtypes),10012602,Glucose metabolism disorders (incl diabetes mellitus),10018424,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Diabetes mellitus,character
Anasarca,10002241,Generalised oedema,10018092,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Anasarca,character
Hypercalcemia,10020587,Hypercalcaemia,10020583,Calcium metabolism disorders,10006975,"Bone, calcium, magnesium and phosphorus metabolism disorders",10013296,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Hypercalcemia,character
Hypoglycemia,10021005,Hypoglycaemia,10020993,Hypoglycaemic conditions NEC,10021001,Glucose metabolism disorders (incl diabetes mellitus),10018424,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Hypoglycemia,character
